NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	20	1.6805603504180908	0.015676485	Yes	
row_1	IL12RB2	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	94	1.2482160329818726	0.024086123	Yes	
row_2	DTL	denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]	97	1.2427473068237305	0.036389958	Yes	
row_3	RRM1	ribonucleotide reductase catalytic subunit M1 [Source:HGNC Symbol;Acc:HGNC:10451]	141	1.1629877090454102	0.045616686	Yes	
row_4	HASPIN	histone H3 associated protein kinase [Source:HGNC Symbol;Acc:HGNC:19682]	155	1.142234444618225	0.056304604	Yes	
row_5	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	186	1.1087837219238281	0.065712854	Yes	
row_6	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	212	1.0891969203948975	0.07520352	Yes	
row_7	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	220	1.082392692565918	0.085627325	Yes	
row_8	EEF1AKMT1	EEF1A lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27351]	286	1.0315600633621216	0.09231751	Yes	
row_9	TACC3	transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]	302	1.0196112394332886	0.101669185	Yes	
row_10	CDCA5	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]	321	1.0097289085388184	0.11075529	Yes	
row_11	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	431	0.9565281867980957	0.11424873	Yes	
row_12	MED12L	mediator complex subunit 12L [Source:HGNC Symbol;Acc:HGNC:16050]	506	0.931110680103302	0.11943486	Yes	
row_13	LACTB2	lactamase beta 2 [Source:HGNC Symbol;Acc:HGNC:18512]	551	0.9176302552223206	0.12615484	Yes	
row_14	PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	563	0.9133635759353638	0.13466758	Yes	
row_15	CHD7	chromodomain helicase DNA binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20626]	567	0.9125677347183228	0.14361729	Yes	
row_16	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	570	0.911917507648468	0.15261613	Yes	
row_17	GALE	UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]	590	0.904874861240387	0.16059911	Yes	
row_18	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	602	0.902583658695221	0.16900416	Yes	
row_19	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	645	0.893164873123169	0.17559096	Yes	
row_20	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	676	0.8818245530128479	0.1827319	Yes	
