NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	629	0.8966830372810364	0.015493563	Yes	
row_1	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	1515	0.7234776020050049	0.007173705	Yes	
row_2	ELK1	ETS transcription factor ELK1 [Source:HGNC Symbol;Acc:HGNC:3321]	1761	0.6879247426986694	0.03216269	Yes	
row_3	LAT	linker for activation of T cells [Source:HGNC Symbol;Acc:HGNC:18874]	1925	0.6653267741203308	0.06040955	Yes	
row_4	FOS	"Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]"	2030	0.6528829336166382	0.091214046	Yes	
row_5	CD3D	CD3d molecule [Source:HGNC Symbol;Acc:HGNC:1673]	2144	0.639442503452301	0.120769925	Yes	
row_6	CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	2201	0.6325516104698181	0.15308392	Yes	
row_7	HRAS	"HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]"	2409	0.6088852286338806	0.17574508	Yes	
row_8	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	2510	0.5972952246665955	0.20365906	Yes	
row_9	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	3516	0.4997619092464447	0.1761998	Yes	
row_10	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	3835	0.4698423743247986	0.1849569	Yes	
row_11	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	3962	0.4578964412212372	0.203635	Yes	
row_12	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	4279	0.4295121133327484	0.2102452	Yes	
