NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7 [Source:HGNC Symbol;Acc:HGNC:28314]	508	0.9290993809700012	-0.016679084	No	
row_1	SNORD104	"small nucleolar RNA, C/D box 104 [Source:HGNC Symbol;Acc:HGNC:32768]"	1134	0.7840526103973389	-0.04166023	No	
row_2	MINDY1	MINDY lysine 48 deubiquitinase 1 [Source:HGNC Symbol;Acc:HGNC:25648]	1137	0.7836426496505737	-0.032035362	No	
row_3	FAM171A1	family with sequence similarity 171 member A1 [Source:HGNC Symbol;Acc:HGNC:23522]	1364	0.7460827827453613	-0.03532158	No	
row_4	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	1403	0.7392234206199646	-0.028248573	No	
row_5	TAF4	TATA-box binding protein associated factor 4 [Source:HGNC Symbol;Acc:HGNC:11537]	1471	0.7289356589317322	-0.022914493	No	
row_6	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	1555	0.7187250852584839	-0.018596157	No	
row_7	XPO6	exportin 6 [Source:HGNC Symbol;Acc:HGNC:19733]	1597	0.711933970451355	-0.012028863	No	
row_8	NKAPL	NFKB activating protein like [Source:HGNC Symbol;Acc:HGNC:21584]	1754	0.6889672875404358	-0.012135794	No	
row_9	PATJ	PATJ crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:28881]	2049	0.6505354046821594	-0.020386871	No	
row_10	USP6NL	USP6 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16858]	2152	0.639063835144043	-0.018113805	No	
row_11	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like [Source:HGNC Symbol;Acc:HGNC:5037]	2156	0.638574481010437	-0.010346817	No	
row_12	C9orf64	chromosome 9 open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:28144]	2190	0.634111762046814	-0.004301941	No	
row_13	FAM117B	family with sequence similarity 117 member B [Source:HGNC Symbol;Acc:HGNC:14440]	2227	0.6298856139183044	0.0015237621	No	
row_14	SRSF7	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]	2401	0.6097776889801025	-5.1146647E-4	No	
row_15	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	2438	0.6049001812934875	0.005003818	No	
row_16	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	2501	0.5982370376586914	0.008991875	No	
row_17	COA8	cytochrome c oxidase assembly factor 8 [Source:HGNC Symbol;Acc:HGNC:20492]	2706	0.5743897557258606	0.0047947634	No	
row_18	TWF1	twinfilin actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9620]	2777	0.5677886605262756	0.007960085	No	
row_19	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	3035	0.5440153479576111	4.4115834E-4	No	
row_20	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3 [Source:HGNC Symbol;Acc:HGNC:9439]	3093	0.538843035697937	0.003969081	No	
row_21	TNFRSF10D	TNF receptor superfamily member 10d [Source:HGNC Symbol;Acc:HGNC:11907]	3219	0.5259403586387634	0.0035589237	No	
row_22	CELF1	CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]	3717	0.4810943305492401	-0.018075068	No	
row_23	SH2D3A	SH2 domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16885]	3989	0.45568493008613586	-0.02746919	No	
row_24	ELK4	ETS transcription factor ELK4 [Source:HGNC Symbol;Acc:HGNC:3326]	4060	0.44915223121643066	-0.02577781	No	
row_25	ZFP28	ZFP28 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:17801]	4077	0.4473770558834076	-0.021108482	No	
row_26	SETD6	"SET domain containing 6, protein lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:26116]"	4129	0.4426126778125763	-0.018442791	No	
row_27	NDFIP1	Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17592]	4181	0.4385634958744049	-0.015827408	No	
row_28	SCML1	Scm polycomb group protein like 1 [Source:HGNC Symbol;Acc:HGNC:10580]	4434	0.41500064730644226	-0.024671437	No	
row_29	PLXNA1	plexin A1 [Source:HGNC Symbol;Acc:HGNC:9099]	4524	0.4068170189857483	-0.024561584	No	
row_30	EBAG9	estrogen receptor binding site associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:3123]	4648	0.3973497152328491	-0.026458241	No	
