NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	105	1.2348675727844238	0.007126227	Yes	
row_1	VRK1	VRK serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:12718]	144	1.160380244255066	0.01719614	Yes	
row_2	KCTD12	potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]	157	1.139940857887268	0.028497268	Yes	
row_3	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	393	0.9700981974601746	0.025614588	Yes	
row_4	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21034]	408	0.9666736125946045	0.034985337	Yes	
row_5	XRCC5	X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]	436	0.9536146521568298	0.043496072	Yes	
row_6	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	447	0.9505398273468018	0.052919865	Yes	
row_7	GART	"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]"	494	0.9337968826293945	0.06016598	Yes	
row_8	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	571	0.9114985466003418	0.06550974	Yes	
row_9	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	695	0.8771519660949707	0.067879304	Yes	
row_10	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	726	0.8700844049453735	0.07534622	Yes	
row_11	ABCG1	ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]	753	0.8653725981712341	0.082986094	Yes	
row_12	GAR1	GAR1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14264]	852	0.839790940284729	0.08635361	Yes	
row_13	GNL3	G protein nucleolar 3 [Source:HGNC Symbol;Acc:HGNC:29931]	861	0.8372812271118164	0.094699495	Yes	
row_14	MRPL23	mitochondrial ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10322]	912	0.8256421685218811	0.100587636	Yes	
row_15	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	1064	0.7970730662345886	0.10055942	Yes	
row_16	CD2AP	CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]	1070	0.7961932420730591	0.10864074	Yes	
row_17	METTL1	methyltransferase like 1 [Source:HGNC Symbol;Acc:HGNC:7030]	1179	0.7772023677825928	0.11079504	Yes	
row_18	DPH5	diphthamide biosynthesis 5 [Source:HGNC Symbol;Acc:HGNC:24270]	1192	0.7756189703941345	0.1182711	Yes	
row_19	IL6R	interleukin 6 receptor [Source:HGNC Symbol;Acc:HGNC:6019]	1325	0.754470705986023	0.11885214	Yes	
row_20	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	1328	0.7541102766990662	0.12665845	Yes	
row_21	SIPA1L2	signal induced proliferation associated 1 like 2 [Source:HGNC Symbol;Acc:HGNC:23800]	1340	0.752784252166748	0.13395037	Yes	
row_22	RGS10	regulator of G protein signaling 10 [Source:HGNC Symbol;Acc:HGNC:9992]	1341	0.7521287202835083	0.14184709	Yes	
row_23	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	1461	0.7313527464866638	0.14290832	Yes	
row_24	CDR2	cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]	1463	0.7307716608047485	0.1505252	Yes	
row_25	TSR1	TSR1 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:25542]	1531	0.7223496437072754	0.15438353	Yes	
row_26	RERE	arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol;Acc:HGNC:9965]	1545	0.7205604314804077	0.1612259	Yes	
row_27	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	1575	0.7156637907028198	0.16712713	Yes	
row_28	GRWD1	glutamate rich WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:21270]	1737	0.6902742385864258	0.16542153	Yes	
row_29	IFRD2	interferon related developmental regulator 2 [Source:HGNC Symbol;Acc:HGNC:5457]	1750	0.6891694068908691	0.17198993	Yes	
row_30	HSP90AB1	heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]	1774	0.6859700679779053	0.17791307	Yes	
row_31	EIF5	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]	1819	0.6795709729194641	0.18260123	Yes	
row_32	RCL1	RNA terminal phosphate cyclase like 1 [Source:HGNC Symbol;Acc:HGNC:17687]	1843	0.6768518686294556	0.18842863	Yes	
row_33	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]	1855	0.6756484508514404	0.19491068	Yes	
row_34	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	1886	0.6710377335548401	0.20028777	Yes	
row_35	FOS	"Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]"	2030	0.6528829336166382	0.19919054	Yes	
row_36	RFLNB	refilin B [Source:HGNC Symbol;Acc:HGNC:28705]	2159	0.6381325721740723	0.19877256	Yes	
row_37	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	2348	0.6150271892547607	0.19477552	Yes	
row_38	SRSF7	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]	2401	0.6097776889801025	0.19828606	Yes	
row_39	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	2456	0.6029906272888184	0.20161411	Yes	
row_40	MYC	"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]"	2474	0.600814163684845	0.20697682	Yes	
row_41	IPO4	importin 4 [Source:HGNC Symbol;Acc:HGNC:19426]	2483	0.5999024510383606	0.21283042	Yes	
row_42	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031]	2493	0.5988937616348267	0.21861784	Yes	
row_43	EYA2	EYA transcriptional coactivator and phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3520]	2546	0.5932186841964722	0.22195452	Yes	
row_44	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	2575	0.5889635682106018	0.22658111	Yes	
row_45	FMC1	formation of mitochondrial complex V assembly factor 1 homolog [Source:HGNC Symbol;Acc:HGNC:26946]	2855	0.5616618394851685	0.21696344	No	
row_46	RETREG1	reticulophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:25964]	2978	0.5478911399841309	0.21593165	No	
row_47	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	2989	0.5468534827232361	0.22111708	No	
row_48	C19orf48	chromosome 19 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29667]	3021	0.544874370098114	0.22511394	No	
row_49	FBL	fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]	3123	0.5357665419578552	0.22512263	No	
row_50	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	3444	0.5054485201835632	0.21263483	No	
row_51	TNFSF8	TNF superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11938]	3497	0.5011026263237	0.21500437	No	
row_52	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	3589	0.4932282865047455	0.21512252	No	
row_53	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	3984	0.456349641084671	0.19800423	No	
row_54	LARP1	"La ribonucleoprotein 1, translational regulator [Source:HGNC Symbol;Acc:HGNC:29531]"	4097	0.4457648992538452	0.19645628	No	
row_55	D2HGDH	D-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:28358]	4225	0.43432509899139404	0.19395411	No	
row_56	AQP9	aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643]	4263	0.4312285780906677	0.19642414	No	
row_57	PIM2	"Pim-2 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8987]"	4294	0.42811819911003113	0.19925079	No	
row_58	SLC12A7	solute carrier family 12 member 7 [Source:HGNC Symbol;Acc:HGNC:10915]	4310	0.42697829008102417	0.20289958	No	
row_59	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	4353	0.42353466153144836	0.2050108	No	
row_60	CD7	CD7 molecule [Source:HGNC Symbol;Acc:HGNC:1695]	4459	0.4128774106502533	0.20350683	No	
row_61	CAMSAP1	calmodulin regulated spectrin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:19946]	4481	0.4106847941875458	0.2066509	No	
row_62	RPS4X	ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424]	4497	0.40996238589286804	0.21012104	No	
row_63	LONP1	"lon peptidase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:9479]"	4523	0.4068933129310608	0.21300288	No	
row_64	DDX47	DEAD-box helicase 47 [Source:HGNC Symbol;Acc:HGNC:18682]	4732	0.39074957370758057	0.20553894	No	
row_65	NEDD4L	NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]	4736	0.39046528935432434	0.20947167	No	
row_66	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	5110	0.3559717535972595	0.19246727	No	
row_67	HPCAL1	hippocalcin like 1 [Source:HGNC Symbol;Acc:HGNC:5145]	5304	0.3387051224708557	0.18529102	No	
row_68	HSD17B8	hydroxysteroid 17-beta dehydrogenase 8 [Source:HGNC Symbol;Acc:HGNC:3554]	5367	0.33338502049446106	0.1853436	No	
row_69	EIF1	eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]	5408	0.33100777864456177	0.18659458	No	
row_70	CCR7	C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]	5480	0.3243696391582489	0.18605201	No	
row_71	RREB1	ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449]	5514	0.3220847249031067	0.18759856	No	
row_72	NLK	nemo like kinase [Source:HGNC Symbol;Acc:HGNC:29858]	5794	0.2973487377166748	0.17520583	No	
