NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NKIRAS1	NFKB inhibitor interacting Ras like 1 [Source:HGNC Symbol;Acc:HGNC:17899]	92	1.251673698425293	0.013956097	Yes	
row_1	PSMD14	"proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]"	133	1.1795481443405151	0.029696042	Yes	
row_2	PSMD6	"proteasome 26S subunit, non-ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9564]"	317	1.011073350906372	0.034946155	Yes	
row_3	PSMC6	"proteasome 26S subunit, ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9553]"	343	0.9987053871154785	0.048764355	Yes	
row_4	PSMC2	"proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]"	349	0.9926261901855469	0.06359842	Yes	
row_5	PSMC1	"proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]"	448	0.9504603743553162	0.07263649	Yes	
row_6	PSMA5	proteasome 20S subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:9534]	517	0.9267799854278564	0.082976684	Yes	
row_7	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	547	0.9194133877754211	0.09536611	Yes	
row_8	PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	563	0.9133635759353638	0.10843932	Yes	
row_9	PSMD11	"proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]"	615	0.8995118737220764	0.119306535	Yes	
row_10	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	629	0.8966830372810364	0.13223664	Yes	
row_11	PSMD13	"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"	661	0.8865125775337219	0.14401437	Yes	
row_12	PSMA6	proteasome 20S subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:9535]	813	0.8498748540878296	0.14858393	Yes	
row_13	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	867	0.8356308341026306	0.15836783	Yes	
row_14	PSMC3	"proteasome 26S subunit, ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9549]"	876	0.8341186046600342	0.1706226	Yes	
row_15	PSMD12	"proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]"	891	0.8301234841346741	0.18248403	Yes	
row_16	PSMA4	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]	902	0.827585756778717	0.1945285	Yes	
row_17	UBE2N	ubiquitin conjugating enzyme E2 N [Source:HGNC Symbol;Acc:HGNC:12492]	931	0.8230077624320984	0.20550573	Yes	
row_18	PSMD4	"proteasome 26S subunit, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]"	1044	0.8024106025695801	0.21151412	Yes	
row_19	PSME3	proteasome activator subunit 3 [Source:HGNC Symbol;Acc:HGNC:9570]	1096	0.7907143235206604	0.22072506	Yes	
row_20	PELI1	pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]	1103	0.7891254425048828	0.23240572	Yes	
row_21	PSMD5	"proteasome 26S subunit, non-ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9563]"	1118	0.7860715985298157	0.24359652	Yes	
row_22	PSMD7	"proteasome 26S subunit, non-ATPase 7 [Source:HGNC Symbol;Acc:HGNC:9565]"	1167	0.7797673344612122	0.25280708	Yes	
row_23	PSMB7	proteasome 20S subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:9544]	1180	0.777142345905304	0.2639728	Yes	
row_24	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]	1204	0.7730473279953003	0.27446654	Yes	
row_25	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	1232	0.7696397304534912	0.28468674	Yes	
row_26	PSMB1	proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]	1252	0.7658609747886658	0.2952928	Yes	
row_27	PSMA7	proteasome 20S subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]	1516	0.723385214805603	0.29172972	Yes	
row_28	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	1518	0.7232726216316223	0.30268496	Yes	
row_29	PSMB6	proteasome 20S subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:9543]	1872	0.6724966764450073	0.29335937	Yes	
row_30	PSMB5	proteasome 20S subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:9542]	1933	0.6644992232322693	0.3001501	Yes	
