NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMRN2	multimerin 2 [Source:HGNC Symbol;Acc:HGNC:19888]	86	1.4095079898834229	0.009779516	No	
row_1	ABHD4	abhydrolase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:20154]	154	1.26587975025177	0.019132439	No	
row_2	DIRAS1	DIRAS family GTPase 1 [Source:HGNC Symbol;Acc:HGNC:19127]	186	1.220470905303955	0.030020393	No	
row_3	ULK1	unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558]	343	1.0898410081863403	0.032598726	No	
row_4	OMG	oligodendrocyte myelin glycoprotein [Source:HGNC Symbol;Acc:HGNC:8135]	576	0.9735226631164551	0.029743485	No	
row_5	IVL	involucrin [Source:HGNC Symbol;Acc:HGNC:6187]	704	0.9343258738517761	0.032329135	No	
row_6	RABGAP1L	RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663]	721	0.929387092590332	0.0410438	No	
row_7	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	772	0.9167299270629883	0.047734655	No	
row_8	SCUBE3	"signal peptide, CUB domain and EGF like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:13655]"	875	0.8888693451881409	0.0512424	No	
row_9	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	889	0.8859462738037109	0.05967512	No	
row_10	HCN3	hyperpolarization activated cyclic nucleotide gated potassium channel 3 [Source:HGNC Symbol;Acc:HGNC:19183]	922	0.8787700533866882	0.06697582	No	
row_11	LNX1	ligand of numb-protein X 1 [Source:HGNC Symbol;Acc:HGNC:6657]	1126	0.8356465697288513	0.0643102	No	
row_12	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	1345	0.7921338677406311	0.06035972	No	
row_13	SH3RF2	SH3 domain containing ring finger 2 [Source:HGNC Symbol;Acc:HGNC:26299]	1460	0.7693345546722412	0.061963927	No	
row_14	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	1468	0.7673192620277405	0.069504656	No	
