NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRAMD4	GRAM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:29113]	163	1.2547996044158936	0.0048698694	No	
row_1	ZFYVE1	zinc finger FYVE-type containing 1 [Source:HGNC Symbol;Acc:HGNC:13180]	375	1.0695911645889282	0.0050123353	No	
row_2	CD72	CD72 molecule [Source:HGNC Symbol;Acc:HGNC:1696]	476	1.0132414102554321	0.010703804	No	
row_3	SLC15A4	solute carrier family 15 member 4 [Source:HGNC Symbol;Acc:HGNC:23090]	724	0.9289985299110413	0.0072819856	No	
row_4	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	778	0.9152984023094177	0.014500162	No	
row_5	PAQR6	progestin and adipoQ receptor family member 6 [Source:HGNC Symbol;Acc:HGNC:30132]	847	0.8932918906211853	0.020639459	No	
row_6	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]	906	0.8826995491981506	0.0272174	No	
row_7	RDH10	retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975]	1693	0.7307559847831726	-0.0083907945	No	
row_8	SEC61A2	SEC61 translocon alpha 2 subunit [Source:HGNC Symbol;Acc:HGNC:17702]	1844	0.7091404795646667	-0.008858572	No	
row_9	EFHD2	EF-hand domain family member D2 [Source:HGNC Symbol;Acc:HGNC:28670]	1890	0.7020045518875122	-0.0035644898	No	
row_10	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	2115	0.6701002717018127	-0.008582501	No	
row_11	PNKP	polynucleotide kinase 3'-phosphatase [Source:HGNC Symbol;Acc:HGNC:9154]	2172	0.662298321723938	-0.0043413774	No	
row_12	ZADH2	zinc binding alcohol dehydrogenase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28697]	2366	0.6396689414978027	-0.007972879	No	
row_13	NOD2	nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]	2375	0.6388332843780518	-0.0013221633	No	
row_14	VPS8	VPS8 subunit of CORVET complex [Source:HGNC Symbol;Acc:HGNC:29122]	2514	0.6214191913604736	-0.0020967368	No	
row_15	MCTP2	multiple C2 and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25636]	2579	0.6133447885513306	0.0011556043	No	
row_16	LRRC28	leucine rich repeat containing 28 [Source:HGNC Symbol;Acc:HGNC:28355]	2638	0.6067028045654297	0.0046679485	No	
row_17	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	2865	0.5815834403038025	-0.001444511	No	
row_18	WIPI1	"WD repeat domain, phosphoinositide interacting 1 [Source:HGNC Symbol;Acc:HGNC:25471]"	2873	0.5802527666091919	0.0046111597	No	
row_19	RAB37	"RAB37, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30268]"	2952	0.5697599649429321	0.006600572	No	
row_20	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309]	3093	0.5555940866470337	0.0049835956	No	
row_21	COMMD3	COMM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23332]	3173	0.5460481643676758	0.0066540027	No	
row_22	PPP1R16B	protein phosphatase 1 regulatory subunit 16B [Source:HGNC Symbol;Acc:HGNC:15850]	3374	0.5212883949279785	0.0013181966	No	
row_23	SLC35G2	solute carrier family 35 member G2 [Source:HGNC Symbol;Acc:HGNC:28480]	3443	0.5137210488319397	0.0032414615	No	
row_24	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	3454	0.5123982429504395	0.008376558	No	
row_25	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4 [Source:HGNC Symbol;Acc:HGNC:20202]	3825	0.47318655252456665	-0.006950586	No	
row_26	SPACA9	sperm acrosome associated 9 [Source:HGNC Symbol;Acc:HGNC:1367]	3885	0.467081755399704	-0.005044693	No	
row_27	VSIG10L	V-set and immunoglobulin domain containing 10 like [Source:HGNC Symbol;Acc:HGNC:27111]	4326	0.4228225648403168	-0.024825329	No	
row_28	FGGY	FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610]	4516	0.4039042294025421	-0.030853037	No	
row_29	UEVLD	UEV and lactate/malate dehyrogenase domains [Source:HGNC Symbol;Acc:HGNC:30866]	4857	0.3691549301147461	-0.045666806	No	
row_30	ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]	5019	0.3526935279369354	-0.050705697	No	
row_31	RCAN2	regulator of calcineurin 2 [Source:HGNC Symbol;Acc:HGNC:3041]	5066	0.34769347310066223	-0.049402706	No	
row_32	METRNL	"meteorin like, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:27584]"	5368	0.31803998351097107	-0.062614664	No	
row_33	INPP1	inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]	5382	0.31702038645744324	-0.059816595	No	
row_34	BMP2K	BMP2 inducible kinase [Source:HGNC Symbol;Acc:HGNC:18041]	5478	0.3079267740249634	-0.061681163	No	
row_35	SLIT1	slit guidance ligand 1 [Source:HGNC Symbol;Acc:HGNC:11085]	5582	0.2989025413990021	-0.064091004	No	
row_36	NEDD9	"neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]"	5594	0.2979829013347626	-0.061393127	No	
row_37	GTDC1	glycosyltransferase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20887]	5607	0.2971583902835846	-0.05876004	No	
row_38	DELE1	DAP3 binding cell death enhancer 1 [Source:HGNC Symbol;Acc:HGNC:28969]	5910	0.2700350880622864	-0.07256084	No	
row_39	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	5967	0.26431629061698914	-0.07274025	No	
row_40	MEAK7	"MTOR associated protein, eak-7 homolog [Source:HGNC Symbol;Acc:HGNC:29325]"	6039	0.2573784589767456	-0.07383116	No	
row_41	TMEM185A	transmembrane protein 185A [Source:HGNC Symbol;Acc:HGNC:17125]	6089	0.2532694935798645	-0.07374386	No	
row_42	LRRCC1	leucine rich repeat and coiled-coil centrosomal protein 1 [Source:HGNC Symbol;Acc:HGNC:29373]	6199	0.24341200292110443	-0.07710384	No	
row_43	STYXL1	serine/threonine/tyrosine interacting like 1 [Source:HGNC Symbol;Acc:HGNC:18165]	6212	0.24250398576259613	-0.07507781	No	
row_44	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	6303	0.234597846865654	-0.07747872	No	
row_45	ST8SIA4	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]"	6363	0.22829069197177887	-0.07822517	No	
row_46	PDE4D	phosphodiesterase 4D [Source:HGNC Symbol;Acc:HGNC:8783]	6503	0.21538692712783813	-0.083565325	No	
row_47	SPATS2L	spermatogenesis associated serine rich 2 like [Source:HGNC Symbol;Acc:HGNC:24574]	6537	0.21249477565288544	-0.08304085	No	
row_48	STAMBP	STAM binding protein [Source:HGNC Symbol;Acc:HGNC:16950]	6551	0.2116733342409134	-0.0814129	No	
row_49	GSDME	gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]	6680	0.1991933137178421	-0.08632099	No	
row_50	SLC12A6	solute carrier family 12 member 6 [Source:HGNC Symbol;Acc:HGNC:10914]	6877	0.18216729164123535	-0.09520102	No	
