NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LGALS9B	galectin 9B [Source:HGNC Symbol;Acc:HGNC:24842]	98	1.375461459159851	0.010804002	No	
row_1	DHRS1	dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]	137	1.297944188117981	0.024028648	No	
row_2	KLRD1	killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]	821	0.9007408022880554	-0.0033096818	No	
row_3	KLRG1	killer cell lectin like receptor G1 [Source:HGNC Symbol;Acc:HGNC:6380]	921	0.8791366815567017	0.0015736136	No	
row_4	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]	964	0.8664077520370483	0.009476327	No	
row_5	YIPF3	Yip1 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:21023]	993	0.8599939346313477	0.018081805	No	
row_6	GOLM1	golgi membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:15451]	1267	0.8066098690032959	0.012431705	No	
row_7	SMPD1	sphingomyelin phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:11120]	1293	0.8019764423370361	0.02051842	No	
row_8	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	1334	0.7938098311424255	0.027674465	No	
row_9	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	1494	0.762021005153656	0.027837127	No	
row_10	FAM89B	family with sequence similarity 89 member B [Source:HGNC Symbol;Acc:HGNC:16708]	1521	0.7568385004997253	0.035334837	No	
row_11	DNM1	dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]	1577	0.746256411075592	0.04109477	No	
row_12	TMC6	transmembrane channel like 6 [Source:HGNC Symbol;Acc:HGNC:18021]	1804	0.7155328392982483	0.036982134	No	
row_13	GLIPR2	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]	1809	0.7150253057479858	0.045209177	No	
row_14	RNF167	ring finger protein 167 [Source:HGNC Symbol;Acc:HGNC:24544]	1944	0.6944152116775513	0.04596322	No	
row_15	ABCA2	ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]	2013	0.6833207607269287	0.050256494	No	
row_16	FAM117A	family with sequence similarity 117 member A [Source:HGNC Symbol;Acc:HGNC:24179]	2075	0.6757291555404663	0.054849338	No	
row_17	BSCL2	"BSCL2 lipid droplet biogenesis associated, seipin [Source:HGNC Symbol;Acc:HGNC:15832]"	2131	0.6676537394523621	0.05968042	No	
row_18	RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	2354	0.6403786540031433	0.05490213	No	
row_19	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	2356	0.6401873826980591	0.062411644	No	
row_20	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]	2490	0.6248494386672974	0.062399235	No	
row_21	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]	2532	0.6193881630897522	0.06743851	No	
row_22	STK38	serine/threonine kinase 38 [Source:HGNC Symbol;Acc:HGNC:17847]	2600	0.6111900210380554	0.07093503	No	
row_23	B4GALT1	"beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]"	2739	0.5945479869842529	0.07028649	No	
row_24	MBP	myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925]	3508	0.5075899958610535	0.033575334	No	
row_25	KLRK1	killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]	3553	0.5019726157188416	0.037060276	No	
row_26	TMEM45A	transmembrane protein 45A [Source:HGNC Symbol;Acc:HGNC:25480]	3584	0.49902018904685974	0.041288886	No	
row_27	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	3789	0.4762975573539734	0.03557264	No	
row_28	LYSMD1	LysM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32070]	3991	0.45667219161987305	0.029791314	No	
row_29	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9466]	4152	0.44112423062324524	0.026106313	No	
row_30	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	4189	0.4377322494983673	0.029277015	No	
row_31	CCNDBP1	cyclin D1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1587]	4390	0.4162054657936096	0.023073101	No	
row_32	RMC1	regulator of MON1-CCZ1 [Source:HGNC Symbol;Acc:HGNC:24326]	4504	0.405379980802536	0.021579435	No	
row_33	CHFR	checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]	4647	0.39131787419319153	0.018306872	No	
row_34	AK3	adenylate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17376]	4706	0.38389211893081665	0.019617897	No	
row_35	GIT1	GIT ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:4272]	4827	0.3717881143093109	0.017337995	No	
row_36	UBE2H	ubiquitin conjugating enzyme E2 H [Source:HGNC Symbol;Acc:HGNC:12484]	5034	0.3513406217098236	0.010033904	No	
row_37	PLD3	phospholipase D family member 3 [Source:HGNC Symbol;Acc:HGNC:17158]	5069	0.347162663936615	0.012245562	No	
row_38	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	5223	0.3331567347049713	0.007673983	No	
row_39	IFITM10	interferon induced transmembrane protein 10 [Source:HGNC Symbol;Acc:HGNC:40022]	5451	0.310480535030365	-0.0012807879	No	
row_40	ZFYVE19	zinc finger FYVE-type containing 19 [Source:HGNC Symbol;Acc:HGNC:20758]	5471	0.3085632622241974	0.0013089072	No	
row_41	KIAA2013	KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]	5494	0.3068475127220154	0.0037114935	No	
row_42	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	5548	0.3015713095664978	0.0043277848	No	
row_43	FEZ2	fasciculation and elongation protein zeta 2 [Source:HGNC Symbol;Acc:HGNC:3660]	5826	0.2774300277233124	-0.007798104	No	
row_44	RNF14	ring finger protein 14 [Source:HGNC Symbol;Acc:HGNC:10058]	6046	0.2563440799713135	-0.016947718	No	
row_45	PCGF5	polycomb group ring finger 5 [Source:HGNC Symbol;Acc:HGNC:28264]	6208	0.24269290268421173	-0.023033204	No	
row_46	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4 [Source:HGNC Symbol;Acc:HGNC:14573]	6386	0.22651807963848114	-0.030199604	No	
row_47	PIK3CD	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]"	6487	0.2167797088623047	-0.033199023	No	
row_48	USP22	ubiquitin specific peptidase 22 [Source:HGNC Symbol;Acc:HGNC:12621]	6723	0.19498872756958008	-0.04396346	No	
row_49	PLAC8	placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]	7309	0.14343306422233582	-0.074801035	No	
row_50	CDKN2D	cyclin dependent kinase inhibitor 2D [Source:HGNC Symbol;Acc:HGNC:1790]	7371	0.13757109642028809	-0.07656763	No	
row_51	RPP25L	ribonuclease P/MRP subunit p25 like [Source:HGNC Symbol;Acc:HGNC:19909]	7373	0.13754139840602875	-0.07499791	No	
row_52	ITGAX	integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152]	7847	0.09440768510103226	-0.10018637	No	
