NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LGALS9B	galectin 9B [Source:HGNC Symbol;Acc:HGNC:24842]	98	1.375461459159851	0.008290389	No	
row_1	DHRS1	dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]	137	1.297944188117981	0.01914342	No	
row_2	CX3CR1	C-X3-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:2558]	166	1.2478585243225098	0.030052265	No	
row_3	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	481	1.010827660560608	0.022686606	No	
row_4	KLRG1	killer cell lectin like receptor G1 [Source:HGNC Symbol;Acc:HGNC:6380]	921	0.8791366815567017	0.007053183	No	
row_5	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	1147	0.831365168094635	0.0028446338	No	
row_6	MXD4	MAX dimerization protein 4 [Source:HGNC Symbol;Acc:HGNC:13906]	1309	0.7996503114700317	0.001878764	No	
row_7	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	1345	0.7921338677406311	0.007845591	No	
row_8	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	1468	0.7673192620277405	0.008725809	No	
row_9	LITAF	lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]	1488	0.7639063596725464	0.015300521	No	
row_10	FAM89B	family with sequence similarity 89 member B [Source:HGNC Symbol;Acc:HGNC:16708]	1521	0.7568385004997253	0.021081597	No	
row_11	LXN	latexin [Source:HGNC Symbol;Acc:HGNC:13347]	1658	0.7359522581100464	0.020869816	No	
row_12	ADAM8	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]	1670	0.734446108341217	0.027595157	No	
row_13	DAPK2	death associated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:2675]	1757	0.7222989201545715	0.030027846	No	
row_14	SLC66A3	solute carrier family 66 member 3 [Source:HGNC Symbol;Acc:HGNC:28503]	1921	0.6972212195396423	0.027927473	No	
row_15	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	2303	0.6463540196418762	0.013194351	No	
