NAME	TITLE	SCORE	
MEIS2	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	3.811356	
SRPK3	SRSF protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:11402]	3.2206974	
BICDL2	BICD family like cargo adaptor 2 [Source:HGNC Symbol;Acc:HGNC:33584]	2.9862566	
ABHD1	abhydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17553]	2.7202613	
SNHG22	small nucleolar RNA host gene 22 [Source:HGNC Symbol;Acc:HGNC:50285]	2.71691	
DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	2.674866	
PDZD2	PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18486]	2.3288224	
YAP1	Yes associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16262]	2.3106554	
VPS37D	VPS37D subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18287]	2.2882354	
PPIAP89	peptidylprolyl isomerase A pseudogene 89 [Source:HGNC Symbol;Acc:HGNC:53713]	2.276466	
LINC01483	long intergenic non-protein coding RNA 1483 [Source:HGNC Symbol;Acc:HGNC:51130]	2.2488976	
GOLGA8F	golgin A8 family member F [Source:HGNC Symbol;Acc:HGNC:32378]	2.217141	
MMP28	matrix metallopeptidase 28 [Source:HGNC Symbol;Acc:HGNC:14366]	2.0728738	
ZIM2-AS1	ZIM2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51304]	2.0533025	
SDHDP6	succinate dehydrogenase complex subunit D pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:10689]	2.0281465	
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	2.0116627	
SEC14L5	SEC14 like lipid binding 5 [Source:HGNC Symbol;Acc:HGNC:29032]	2.009738	
PLA2G4D	phospholipase A2 group IVD [Source:HGNC Symbol;Acc:HGNC:30038]	1.9655608	
ITIH4	inter-alpha-trypsin inhibitor heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:6169]	1.9588901	
LINC01733	long intergenic non-protein coding RNA 1733 [Source:HGNC Symbol;Acc:HGNC:52521]	1.9415817	
CFAP157	cilia and flagella associated protein 157 [Source:HGNC Symbol;Acc:HGNC:27843]	1.9221022	
AS3MT	arsenite methyltransferase [Source:HGNC Symbol;Acc:HGNC:17452]	1.8942062	
ZNF571	zinc finger protein 571 [Source:HGNC Symbol;Acc:HGNC:25000]	1.8793576	
ZC3H6	zinc finger CCCH-type containing 6 [Source:HGNC Symbol;Acc:HGNC:24762]	1.8393373	
ZNF778	zinc finger protein 778 [Source:HGNC Symbol;Acc:HGNC:26479]	1.817282	
AGBL2	ATP/GTP binding protein like 2 [Source:HGNC Symbol;Acc:HGNC:26296]	1.7988968	
TMPRSS5	transmembrane serine protease 5 [Source:HGNC Symbol;Acc:HGNC:14908]	1.7769833	
MIR4422HG	MIR4422 host gene [Source:HGNC Symbol;Acc:HGNC:53113]	1.7596972	
PTPRVP	"protein tyrosine phosphatase receptor type V, pseudogene [Source:HGNC Symbol;Acc:HGNC:13421]"	1.7318345	
LINC01653	long intergenic non-protein coding RNA 1653 [Source:HGNC Symbol;Acc:HGNC:52441]	1.7314337	
LINC02324	long intergenic non-protein coding RNA 2324 [Source:HGNC Symbol;Acc:HGNC:53244]	1.7259843	
PLGLB1	plasminogen like B1 [Source:HGNC Symbol;Acc:HGNC:9072]	1.7229202	
LINC01715	long intergenic non-protein coding RNA 1715 [Source:HGNC Symbol;Acc:HGNC:52502]	1.7179501	
EXTL3-AS1	EXTL3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27985]	1.6983374	
