NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHRS1	dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]	137	1.297944188117981	0.0033518288	No	
row_1	LYN	"LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]"	289	1.1202073097229004	0.004422215	No	
row_2	CD244	CD244 molecule [Source:HGNC Symbol;Acc:HGNC:18171]	870	0.8892234563827515	-0.020325338	No	
row_3	KLRG1	killer cell lectin like receptor G1 [Source:HGNC Symbol;Acc:HGNC:6380]	921	0.8791366815567017	-0.015674414	No	
row_4	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	975	0.863982081413269	-0.011318497	No	
row_5	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	1147	0.831365168094635	-0.01380264	No	
row_6	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	1345	0.7921338677406311	-0.018064825	No	
row_7	LITAF	lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]	1488	0.7639063596725464	-0.019506017	No	
row_8	LXN	latexin [Source:HGNC Symbol;Acc:HGNC:13347]	1658	0.7359522581100464	-0.02268554	No	
row_9	ADAM8	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]	1670	0.734446108341217	-0.017088301	No	
row_10	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	1747	0.7231422066688538	-0.0152025595	No	
row_11	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]	2004	0.684935450553894	-0.023653178	No	
row_12	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	2356	0.6401873826980591	-0.03776693	No	
row_13	TUBB3	tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]	2570	0.6149145364761353	-0.04441744	No	
row_14	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	2659	0.6045903563499451	-0.04420152	No	
row_15	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090]	2736	0.5949325561523438	-0.043399688	No	
row_16	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	3079	0.5566238164901733	-0.057719238	No	
row_17	TUBA1A	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]	3116	0.5525548458099365	-0.05505049	No	
row_18	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:4125]	3200	0.5428624153137207	-0.05507828	No	
row_19	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	3273	0.5331765413284302	-0.054576032	No	
row_20	CDCA3	cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]	3523	0.5052304267883301	-0.0641565	No	
row_21	TYROBP	TYRO protein tyrosine kinase binding protein [Source:HGNC Symbol;Acc:HGNC:12449]	3784	0.4767906963825226	-0.07458934	No	
row_22	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	3866	0.46956753730773926	-0.07512552	No	
row_23	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	4112	0.44493070244789124	-0.084993266	No	
row_24	CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	4237	0.4318102300167084	-0.088240735	No	
row_25	TSPAN32	tetraspanin 32 [Source:HGNC Symbol;Acc:HGNC:13410]	4289	0.42663511633872986	-0.087470986	No	
row_26	AK3	adenylate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17376]	4706	0.38389211893081665	-0.10736745	No	
row_27	SERPINB9	serpin family B member 9 [Source:HGNC Symbol;Acc:HGNC:8955]	4729	0.3824853003025055	-0.105357684	No	
row_28	HP	haptoglobin [Source:HGNC Symbol;Acc:HGNC:5141]	4812	0.37312236428260803	-0.10676487	No	
row_29	LSP1	lymphocyte specific protein 1 [Source:HGNC Symbol;Acc:HGNC:6707]	4829	0.371732234954834	-0.10451224	No	
row_30	DOCK5	dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]	4880	0.36716100573539734	-0.104189664	No	
row_31	GZMK	granzyme K [Source:HGNC Symbol;Acc:HGNC:4711]	4966	0.3590414226055145	-0.10588278	No	
row_32	ANLN	anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]	5492	0.30688369274139404	-0.13249393	No	
row_33	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	5550	0.30144715309143066	-0.13311632	No	
row_34	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	5967	0.26431629061698914	-0.15402369	No	
row_35	TMEM50B	transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]	6191	0.2443697601556778	-0.16436318	No	
row_36	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	6303	0.234597846865654	-0.16855474	No	
row_37	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	6661	0.20052015781402588	-0.1867193	No	
row_38	LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	6729	0.19435031712055206	-0.18880342	No	
row_39	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	6920	0.17855298519134521	-0.19786353	No	
row_40	TKTL1	transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]	6923	0.17816977202892303	-0.19646852	No	
row_41	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	6958	0.17577430605888367	-0.19687389	No	
row_42	PLAC8	placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]	7309	0.14343306422233582	-0.21513169	No	
row_43	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	7503	0.1256609857082367	-0.22480585	No	
row_44	ROM1	retinal outer segment membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10254]	7560	0.11955732107162476	-0.22691035	No	
row_45	RHD	Rh blood group D antigen [Source:HGNC Symbol;Acc:HGNC:10009]	7632	0.11378585547208786	-0.2298981	No	
row_46	ITGAX	integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152]	7847	0.09440768510103226	-0.2410047	No	
row_47	LAG3	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]	7849	0.09412339329719543	-0.2402646	No	
row_48	IFI27L2	interferon alpha inducible protein 27 like 2 [Source:HGNC Symbol;Acc:HGNC:19753]	8161	0.06632370501756668	-0.25700474	No	
row_49	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	8530	0.03586142882704735	-0.27717328	No	
row_50	TCF19	transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11629]	8616	0.02803719788789749	-0.2816648	No	
row_51	MYADM	myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]	9443	-0.040849607437849045	-0.32726958	No	
row_52	MIS18BP1	MIS18 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20190]	9546	-0.04809563606977463	-0.3325372	No	
row_53	PDK3	pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]	9842	-0.07459288090467453	-0.34831735	No	
row_54	MPEG1	macrophage expressed 1 [Source:HGNC Symbol;Acc:HGNC:29619]	10369	-0.12332873791456223	-0.37653595	No	
row_55	H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	10427	-0.12880541384220123	-0.37861788	No	
row_56	SUN1	Sad1 and UNC84 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18587]	10485	-0.13399583101272583	-0.38065594	No	
row_57	KIF20A	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]	10516	-0.13568612933158875	-0.38117772	No	
row_58	DCK	deoxycytidine kinase [Source:HGNC Symbol;Acc:HGNC:2704]	10658	-0.14926104247570038	-0.38775963	No	
