NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRF1	perforin 1 [Source:HGNC Symbol;Acc:HGNC:9360]	249	1.1449449062347412	-0.0032605492	No	
row_1	H1-2	"H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]"	281	1.123949408531189	0.005409984	No	
row_2	LYN	"LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]"	289	1.1202073097229004	0.015380799	No	
row_3	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	772	0.9167299270629883	-0.0029499447	No	
row_4	CD244	CD244 molecule [Source:HGNC Symbol;Acc:HGNC:18171]	870	0.8892234563827515	-1.2120791E-4	No	
row_5	KLRG1	killer cell lectin like receptor G1 [Source:HGNC Symbol;Acc:HGNC:6380]	921	0.8791366815567017	0.005228403	No	
row_6	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	975	0.863982081413269	0.010270997	No	
row_7	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	1147	0.831365168094635	0.008448723	No	
row_8	LITAF	lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]	1488	0.7639063596725464	-0.0033972948	No	
row_9	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	1504	0.7606722712516785	0.0028034225	No	
row_10	ADAM8	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]	1670	0.734446108341217	4.1852193E-4	No	
row_11	MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	1738	0.7238544821739197	0.003386469	No	
row_12	SERINC3	serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]	1889	0.7020962834358215	0.0015366902	No	
row_13	EFHD2	EF-hand domain family member D2 [Source:HGNC Symbol;Acc:HGNC:28670]	1890	0.7020045518875122	0.008029129	No	
row_14	UBL3	ubiquitin like 3 [Source:HGNC Symbol;Acc:HGNC:12504]	2005	0.6849244236946106	0.008022875	No	
row_15	MDFIC	MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:HGNC:28870]	2178	0.661415696144104	0.004573214	No	
row_16	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	2356	0.6401873826980591	6.491225E-4	No	
row_17	JCHAIN	joining chain of multimeric IgA and IgM [Source:HGNC Symbol;Acc:HGNC:5713]	2367	0.6395485997200012	0.0060077384	No	
row_18	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	2659	0.6045903563499451	-0.0045863003	No	
row_19	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	2687	0.6015838384628296	-5.243467E-4	No	
row_20	HOPX	HOP homeobox [Source:HGNC Symbol;Acc:HGNC:24961]	3007	0.5634630918502808	-0.01305612	No	
row_21	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	3079	0.5566238164901733	-0.011857276	No	
row_22	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:4125]	3200	0.5428624153137207	-0.0135111045	No	
row_23	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	3273	0.5331765413284302	-0.012584731	No	
row_24	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	3454	0.5123982429504395	-0.017857533	No	
row_25	CDCA3	cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]	3523	0.5052304267883301	-0.016967135	No	
row_26	KLRK1	killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]	3553	0.5019726157188416	-0.013937669	No	
row_27	SH3BGRL	SH3 domain binding glutamate rich protein like [Source:HGNC Symbol;Acc:HGNC:10823]	4012	0.45476242899894714	-0.035205998	No	
row_28	CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	4237	0.4318102300167084	-0.04367141	No	
row_29	CARHSP1	calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150]	4371	0.4183938205242157	-0.047199443	No	
row_30	ARHGAP21	Rho GTPase activating protein 21 [Source:HGNC Symbol;Acc:HGNC:23725]	4695	0.38519376516342163	-0.06160241	No	
row_31	SERPINB9	serpin family B member 9 [Source:HGNC Symbol;Acc:HGNC:8955]	4729	0.3824853003025055	-0.059900496	No	
row_32	DOCK5	dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]	4880	0.36716100573539734	-0.0648479	No	
row_33	GZMK	granzyme K [Source:HGNC Symbol;Acc:HGNC:4711]	4966	0.3590414226055145	-0.06625507	No	
row_34	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	4998	0.3559224605560303	-0.06468758	No	
row_35	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	5223	0.3331567347049713	-0.07406538	No	
row_36	BMP2K	BMP2 inducible kinase [Source:HGNC Symbol;Acc:HGNC:18041]	5478	0.3079267740249634	-0.085345134	No	
row_37	ANLN	anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]	5492	0.30688369274139404	-0.08323001	No	
row_38	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	5537	0.30289706587791443	-0.08287599	No	
row_39	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	5550	0.30144715309143066	-0.08075552	No	
row_40	C6orf89	chromosome 6 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:21114]	5885	0.27276161313056946	-0.09681013	No	
row_41	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	6015	0.2593584358692169	-0.10158651	No	
row_42	MAPRE2	microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]	6038	0.25740352272987366	-0.10042959	No	
row_43	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	6303	0.234597846865654	-0.112943724	No	
row_44	PLP2	proteolipid protein 2 [Source:HGNC Symbol;Acc:HGNC:9087]	6473	0.21806232631206512	-0.12032684	No	
row_45	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	6661	0.20052015781402588	-0.12887336	No	
row_46	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	6664	0.20036816596984863	-0.12713152	No	
row_47	LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	6729	0.19435031712055206	-0.1288938	No	
row_48	STARD10	StAR related lipid transfer domain containing 10 [Source:NCBI gene;Acc:10809]	6905	0.18010596930980682	-0.13696167	No	
row_49	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	6920	0.17855298519134521	-0.13608903	No	
row_50	TKTL1	transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]	6923	0.17816977202892303	-0.13455248	No	
row_51	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	6958	0.17577430605888367	-0.13481793	No	
row_52	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	7000	0.1714620739221573	-0.13551262	No	
row_53	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	7118	0.16137579083442688	-0.14052774	No	
row_54	KRTCAP2	keratinocyte associated protein 2 [Source:HGNC Symbol;Acc:HGNC:28942]	7223	0.1529235541820526	-0.14489797	No	
row_55	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	7503	0.1256609857082367	-0.1592539	No	
row_56	ROM1	retinal outer segment membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10254]	7560	0.11955732107162476	-0.16126293	No	
row_57	RHD	Rh blood group D antigen [Source:HGNC Symbol;Acc:HGNC:10009]	7632	0.11378585547208786	-0.16415964	No	
row_58	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	7776	0.1012757420539856	-0.17117672	No	
row_59	GZMM	granzyme M [Source:HGNC Symbol;Acc:HGNC:4712]	7835	0.09567302465438843	-0.17351788	No	
row_60	ITGAX	integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152]	7847	0.09440768510103226	-0.17325658	No	
row_61	LAG3	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]	7849	0.09412339329719543	-0.1724417	No	
row_62	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	7969	0.08336164057254791	-0.17828958	No	
row_63	IGKC	immunoglobulin kappa constant [Source:HGNC Symbol;Acc:HGNC:5716]	8017	0.07854080200195312	-0.18017736	No	
