NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNX18	sorting nexin 18 [Source:HGNC Symbol;Acc:HGNC:19245]	580	0.9720277786254883	-0.02150623	No	
row_1	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]	906	0.8826995491981506	-0.02981562	No	
row_2	PTPN12	protein tyrosine phosphatase non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]	1975	0.6885932683944702	-0.08160639	No	
row_3	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]	2182	0.6610498428344727	-0.085749194	No	
row_4	ERO1B	endoplasmic reticulum oxidoreductase 1 beta [Source:HGNC Symbol;Acc:HGNC:14355]	2610	0.6095439791679382	-0.10275628	No	
row_5	VASH1	vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]	2762	0.5922233462333679	-0.104601264	No	
row_6	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	3051	0.5590457320213318	-0.114434764	No	
row_7	TRAK2	trafficking kinesin protein 2 [Source:HGNC Symbol;Acc:HGNC:13206]	3078	0.5567947626113892	-0.10971818	No	
row_8	ARFIP1	ADP ribosylation factor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21496]	3178	0.5453593730926514	-0.109189145	No	
row_9	PON2	paraoxonase 2 [Source:HGNC Symbol;Acc:HGNC:9205]	3207	0.5418007373809814	-0.10474979	No	
row_10	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	3454	0.5123982429504395	-0.11276316	No	
row_11	ZNF264	zinc finger protein 264 [Source:HGNC Symbol;Acc:HGNC:13057]	3827	0.47303545475006104	-0.12822156	No	
row_12	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	3866	0.46956753730773926	-0.12513803	No	
row_13	DIDO1	death inducer-obliterator 1 [Source:HGNC Symbol;Acc:HGNC:2680]	3977	0.45817458629608154	-0.12618594	No	
row_14	TMEM59	transmembrane protein 59 [Source:HGNC Symbol;Acc:HGNC:1239]	3986	0.4573478698730469	-0.121568754	No	
row_15	POGZ	pogo transposable element derived with ZNF domain [Source:HGNC Symbol;Acc:HGNC:18801]	4116	0.44444340467453003	-0.12382562	No	
row_16	CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	4237	0.4318102300167084	-0.12572163	No	
row_17	CPNE1	copine 1 [Source:HGNC Symbol;Acc:HGNC:2314]	4454	0.41036057472229004	-0.13319553	No	
row_18	FBXO9	F-box protein 9 [Source:HGNC Symbol;Acc:HGNC:13588]	4527	0.4023855924606323	-0.13274701	No	
row_19	EPS15	epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]	4730	0.38224413990974426	-0.1397533	No	
row_20	ZC2HC1C	zinc finger C2HC-type containing 1C [Source:HGNC Symbol;Acc:HGNC:20354]	4734	0.38203027844429016	-0.13569164	No	
row_21	ZBTB2	zinc finger and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20868]	4925	0.3632949888706207	-0.1422401	No	
row_22	FLCN	folliculin [Source:HGNC Symbol;Acc:HGNC:27310]	5306	0.3248455822467804	-0.15978381	No	
row_23	BMP2K	BMP2 inducible kinase [Source:HGNC Symbol;Acc:HGNC:18041]	5478	0.3079267740249634	-0.16588818	No	
row_24	ANLN	anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]	5492	0.30688369274139404	-0.16321458	No	
row_25	CUL4B	cullin 4B [Source:HGNC Symbol;Acc:HGNC:2555]	5642	0.29381975531578064	-0.16825123	No	
row_26	TM7SF3	transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049]	5715	0.28633955121040344	-0.16908719	No	
row_27	MCM9	minichromosome maintenance 9 homologous recombination repair factor [Source:HGNC Symbol;Acc:HGNC:21484]	6036	0.25743600726127625	-0.18403924	No	
row_28	TMEM50B	transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]	6191	0.2443697601556778	-0.18990137	No	
row_29	EAF1	ELL associated factor 1 [Source:HGNC Symbol;Acc:HGNC:20907]	6434	0.22230911254882812	-0.2009031	No	
row_30	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	6661	0.20052015781402588	-0.21125594	No	
row_31	GOLPH3	golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452]	6748	0.19268767535686493	-0.21390732	No	
row_32	NHLRC3	NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751]	6795	0.18830657005310059	-0.214382	No	
row_33	EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1 [Source:HGNC Symbol;Acc:HGNC:24634]	6845	0.18414169549942017	-0.21506965	No	
row_34	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	6958	0.17577430605888367	-0.2193546	No	
row_35	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	7000	0.1714620739221573	-0.21973756	No	
row_36	MIER3	MIER family member 3 [Source:HGNC Symbol;Acc:HGNC:26678]	7266	0.14814893901348114	-0.23283964	No	
row_37	AP1G1	adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]	7303	0.14407774806022644	-0.23324756	No	
row_38	TULP4	TUB like protein 4 [Source:HGNC Symbol;Acc:HGNC:15530]	7410	0.13486619293689728	-0.23765153	No	
row_39	MYO5A	myosin VA [Source:HGNC Symbol;Acc:HGNC:7602]	7421	0.13407616317272186	-0.2367238	No	
row_40	NIN	ninein [Source:HGNC Symbol;Acc:HGNC:14906]	7472	0.13017353415489197	-0.23806444	No	
row_41	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	7495	0.12664185464382172	-0.23788653	No	
row_42	PTGR2	prostaglandin reductase 2 [Source:HGNC Symbol;Acc:HGNC:20149]	7509	0.125290185213089	-0.23722294	No	
row_43	ATF2	activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784]	7636	0.11295419186353683	-0.24298203	No	
row_44	ZDHHC21	zinc finger DHHC-type containing 21 [Source:HGNC Symbol;Acc:HGNC:20750]	7809	0.09790623188018799	-0.25146666	No	
row_45	FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	7846	0.09441286325454712	-0.2524243	No	
row_46	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	7969	0.08336164057254791	-0.25828844	No	
