NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNASE1L2	deoxyribonuclease 1 like 2 [Source:HGNC Symbol;Acc:HGNC:2958]	45	1.5679676532745361	0.018207062	Yes	
row_1	SLFN12L	schlafen family member 12 like [Source:HGNC Symbol;Acc:HGNC:33920]	258	1.1392830610275269	0.021479987	Yes	
row_2	KRT81	keratin 81 [Source:HGNC Symbol;Acc:HGNC:6458]	395	1.0562912225723267	0.027877072	Yes	
row_3	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	399	1.0540424585342407	0.041629657	Yes	
row_4	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	405	1.0511647462844849	0.055233184	Yes	
row_5	SYT12	synaptotagmin 12 [Source:HGNC Symbol;Acc:HGNC:18381]	462	1.0227051973342896	0.065628976	Yes	
row_6	CLCN7	chloride voltage-gated channel 7 [Source:HGNC Symbol;Acc:HGNC:2025]	734	0.9268345832824707	0.06282027	Yes	
row_7	CBX7	chromobox 7 [Source:HGNC Symbol;Acc:HGNC:1557]	793	0.9083616137504578	0.071595035	Yes	
row_8	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	889	0.8859462738037109	0.07801927	Yes	
row_9	AKAP9	A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]	916	0.880212128162384	0.0881992	Yes	
row_10	ZNF260	zinc finger protein 260 [Source:HGNC Symbol;Acc:HGNC:13499]	958	0.8681982159614563	0.09738756	Yes	
row_11	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	1166	0.8275625705718994	0.09682169	Yes	
row_12	SYNE2	spectrin repeat containing nuclear envelope protein 2 [Source:HGNC Symbol;Acc:HGNC:17084]	1191	0.8206744194030762	0.106326446	Yes	
row_13	TMEM151B	transmembrane protein 151B [Source:HGNC Symbol;Acc:HGNC:21315]	1286	0.8036540150642395	0.1117195	Yes	
row_14	PHF21A	PHD finger protein 21A [Source:HGNC Symbol;Acc:HGNC:24156]	1332	0.7941032648086548	0.11970729	Yes	
row_15	TBXA2R	thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]	1337	0.7935019731521606	0.12996377	Yes	
row_16	CTRC	chymotrypsin C [Source:HGNC Symbol;Acc:HGNC:2523]	1379	0.7855985164642334	0.13806136	Yes	
