NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SRR	serine racemase [Source:HGNC Symbol;Acc:HGNC:14398]	1241	0.8118720650672913	-0.060674123	No	
row_1	APOC2	apolipoprotein C2 [Source:HGNC Symbol;Acc:HGNC:609]	1850	0.70815110206604	-0.087210305	No	
row_2	STAG3L4	stromal antigen 3-like 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33887]	2146	0.6656585931777954	-0.0967759	No	
row_3	CRIM1	cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]	2504	0.6235101222991943	-0.11022271	No	
row_4	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]	4051	0.45011138916015625	-0.19157681	No	
row_5	CPD	carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]	4503	0.40572404861450195	-0.21248943	No	
row_6	KPNA1	karyopherin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6394]	4524	0.402584433555603	-0.20946458	No	
row_7	SMOX	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	4534	0.4017705023288727	-0.20583633	No	
row_8	SERPINB9	serpin family B member 9 [Source:HGNC Symbol;Acc:HGNC:8955]	4729	0.3824853003025055	-0.2126949	No	
row_9	RGCC	regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]	4761	0.37842801213264465	-0.21053004	No	
row_10	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:29149]	4800	0.37450578808784485	-0.20879479	No	
row_11	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	5000	0.35518819093704224	-0.21621194	No	
row_12	THUMPD2	THUMP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14890]	5903	0.27071747183799744	-0.263594	No	
row_13	BICDL1	BICD family like cargo adaptor 1 [Source:HGNC Symbol;Acc:HGNC:28095]	6288	0.23564854264259338	-0.28252822	No	
row_14	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	6377	0.2271534949541092	-0.28508794	No	
row_15	PIGT	phosphatidylinositol glycan anchor biosynthesis class T [Source:HGNC Symbol;Acc:HGNC:14938]	6493	0.21613426506519318	-0.2892625	No	
row_16	CLCF1	cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412]	6682	0.19884254038333893	-0.29767457	No	
row_17	ITPRIPL2	ITPRIP like 2 [Source:HGNC Symbol;Acc:HGNC:27257]	6841	0.1846003383398056	-0.3045646	No	
row_18	BRAF	"B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]"	6983	0.17348390817642212	-0.3106234	No	
row_19	NAB2	NGFI-A binding protein 2 [Source:HGNC Symbol;Acc:HGNC:7627]	7438	0.13306200504302979	-0.33450487	No	
row_20	PLEKHA3	pleckstrin homology domain containing A3 [Source:HGNC Symbol;Acc:HGNC:14338]	7470	0.13028903305530548	-0.33489	No	
row_21	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	7567	0.11902057379484177	-0.33900586	No	
row_22	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	7924	0.08768436312675476	-0.35790345	No	
row_23	MAPKAPK2	MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	8041	0.07657700777053833	-0.36356777	No	
row_24	TET3	tet methylcytosine dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:28313]	8323	0.052672386169433594	-0.3786541	No	
row_25	NDEL1	nudE neurodevelopment protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:17620]	8445	0.042807985097169876	-0.3849435	No	
row_26	RYBP	RING1 and YY1 binding protein [Source:HGNC Symbol;Acc:HGNC:10480]	8607	0.028553104028105736	-0.39360398	No	
row_27	DNLZ	DNL-type zinc finger [Source:HGNC Symbol;Acc:HGNC:33879]	8655	0.024961765855550766	-0.3959613	No	
row_28	OTUD7B	OTU deubiquitinase 7B [Source:HGNC Symbol;Acc:HGNC:16683]	8767	0.016383109614253044	-0.40196615	No	
row_29	RAB8B	"RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30273]"	8831	0.01117116678506136	-0.40535504	No	
row_30	NIPA1	NIPA magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:17043]	8869	0.006879712454974651	-0.40734208	No	
row_31	PPP1R15B	protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951]	8956	6.342902779579163E-4	-0.41211838	No	
row_32	SDF4	stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]	9001	-0.0025370975490659475	-0.41453934	No	
row_33	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	9222	-0.02215573377907276	-0.42654678	No	
row_34	NFIL3	"nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]"	9319	-0.029799064621329308	-0.43157953	No	
row_35	PITRM1	pitrilysin metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:17663]	9474	-0.04261714965105057	-0.43970618	No	
row_36	NADK	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]	9568	-0.049981094896793365	-0.44436467	No	
row_37	NFATC1	nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775]	9603	-0.0530531108379364	-0.44571036	No	
row_38	GPN2	GPN-loop GTPase 2 [Source:HGNC Symbol;Acc:HGNC:25513]	9776	-0.06831134855747223	-0.45457402	No	
