NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NKG7	natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]	318	1.1036149263381958	7.352807E-4	Yes	
row_1	KRT81	keratin 81 [Source:HGNC Symbol;Acc:HGNC:6458]	395	1.0562912225723267	0.01410481	Yes	
row_2	POU6F1	POU class 6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9224]	472	1.0160555839538574	0.02680451	Yes	
row_3	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	481	1.010827660560608	0.043188673	Yes	
row_4	NOP14-AS1	NOP14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:20205]	664	0.9456789493560791	0.04883768	Yes	
row_5	AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]	689	0.9390671849250793	0.06313979	Yes	
row_6	CLCN7	chloride voltage-gated channel 7 [Source:HGNC Symbol;Acc:HGNC:2025]	734	0.9268345832824707	0.076129	Yes	
row_7	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	803	0.9054617285728455	0.08743128	Yes	
row_8	EPHA1	EPH receptor A1 [Source:HGNC Symbol;Acc:HGNC:3385]	946	0.8706789612770081	0.09405024	Yes	
row_9	STARD3	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]	1058	0.8481689095497131	0.10201383	Yes	
row_10	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	1603	0.7421799302101135	0.08419741	Yes	
row_11	NEB	nebulin [Source:HGNC Symbol;Acc:HGNC:7720]	1653	0.736685037612915	0.093743764	Yes	
row_12	HECW1	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"	1668	0.7348012328147888	0.10519996	Yes	
row_13	CMKLR1	chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]	1824	0.7131412029266357	0.10847528	Yes	
row_14	NCR1	natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]	1864	0.7061057090759277	0.11806719	Yes	
row_15	GCNT1	glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]	1879	0.7040227651596069	0.129011	Yes	
row_16	ZNF529	zinc finger protein 529 [Source:HGNC Symbol;Acc:HGNC:29328]	2038	0.680271327495575	0.13157272	Yes	
row_17	FZD7	frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]	2052	0.6787686347961426	0.14215158	Yes	
row_18	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	2057	0.6783016324043274	0.15322183	Yes	
row_19	TSPOAP1	TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]	2058	0.6782709956169128	0.16451342	Yes	
