NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AS3MT	arsenite methyltransferase [Source:HGNC Symbol;Acc:HGNC:17452]	21	1.894206166267395	0.022854954	Yes	
row_1	ACOXL	acyl-CoA oxidase like [Source:HGNC Symbol;Acc:HGNC:25621]	347	1.086702823638916	0.018563157	Yes	
row_2	GLCCI1	glucocorticoid induced 1 [Source:HGNC Symbol;Acc:HGNC:18713]	421	1.0446914434432983	0.027752576	Yes	
row_3	ATL1	atlastin GTPase 1 [Source:HGNC Symbol;Acc:HGNC:11231]	502	1.0006338357925415	0.035993967	Yes	
row_4	SLC30A4	solute carrier family 30 member 4 [Source:HGNC Symbol;Acc:HGNC:11015]	526	0.9929583668708801	0.047307853	Yes	
row_5	CALCOCO1	calcium binding and coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:29306]	697	0.9367273449897766	0.04973376	Yes	
row_6	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	778	0.9152984023094177	0.056892905	Yes	
row_7	DZIP1	DAZ interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:20908]	941	0.8728936910629272	0.05895415	Yes	
row_8	SMAD1	SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]	1055	0.848628580570221	0.063432604	Yes	
row_9	MTSS1	MTSS I-BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20443]	1086	0.8426772356033325	0.07245131	Yes	
row_10	C2orf68	chromosome 2 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:34353]	1148	0.8312007188796997	0.07960052	Yes	
row_11	ADAM11	ADAM metallopeptidase domain 11 [Source:HGNC Symbol;Acc:HGNC:189]	1154	0.8301728963851929	0.08985092	Yes	
row_12	FMNL3	formin like 3 [Source:HGNC Symbol;Acc:HGNC:23698]	1311	0.7991042733192444	0.09131002	Yes	
