NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LGALS9B	galectin 9B [Source:HGNC Symbol;Acc:HGNC:24842]	98	1.375461459159851	0.010869816	Yes	
row_1	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	227	1.1777863502502441	0.017726038	Yes	
row_2	SLFN12L	schlafen family member 12 like [Source:HGNC Symbol;Acc:HGNC:33920]	258	1.1392830610275269	0.029575022	Yes	
row_3	FAM209A	family with sequence similarity 209 member A [Source:HGNC Symbol;Acc:HGNC:16100]	263	1.1350536346435547	0.042819634	Yes	
row_4	LYN	"LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]"	289	1.1202073097229004	0.05472033	Yes	
row_5	NKG7	natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]	318	1.1036149263381958	0.06625734	Yes	
row_6	GPR18	G protein-coupled receptor 18 [Source:HGNC Symbol;Acc:HGNC:4472]	320	1.102919340133667	0.079287514	Yes	
row_7	IP6K1	inositol hexakisphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:18360]	525	0.9931051135063171	0.07972634	Yes	
row_8	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	747	0.9223220944404602	0.07838001	Yes	
row_9	HLA-C	"major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]"	819	0.9010298848152161	0.085122265	Yes	
row_10	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	1026	0.8545750379562378	0.08380626	Yes	
row_11	RGS12	regulator of G protein signaling 12 [Source:HGNC Symbol;Acc:HGNC:9994]	1032	0.8534188866615295	0.09365376	Yes	
row_12	EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	1117	0.8371630311012268	0.09891535	Yes	
row_13	TRIM5	tripartite motif containing 5 [Source:HGNC Symbol;Acc:HGNC:16276]	1179	0.8232006430625916	0.10529027	Yes	
row_14	DDX58	DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]	1225	0.8153265118598938	0.11246149	Yes	
row_15	ITM2B	integral membrane protein 2B [Source:HGNC Symbol;Acc:HGNC:6174]	1276	0.8056087493896484	0.119239375	Yes	
row_16	ALOX5AP	arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436]	1350	0.791532039642334	0.12457126	Yes	
row_17	LYST	lysosomal trafficking regulator [Source:HGNC Symbol;Acc:HGNC:1968]	1375	0.7866365313529968	0.13256985	Yes	
row_18	ZNF691	zinc finger protein 691 [Source:HGNC Symbol;Acc:HGNC:28028]	1402	0.781275749206543	0.14039363	Yes	
row_19	IFIT1	interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]	1408	0.7800083160400391	0.14937013	Yes	
row_20	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	1494	0.762021005153656	0.15368459	Yes	
row_21	COA5	cytochrome c oxidase assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:33848]	1496	0.7613629102706909	0.1626623	Yes	
row_22	ZBP1	Z-DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:16176]	1575	0.7467581033706665	0.16718492	Yes	
row_23	PARP8	poly(ADP-ribose) polymerase family member 8 [Source:HGNC Symbol;Acc:HGNC:26124]	1601	0.7423153519630432	0.17460205	Yes	
