NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YAP1	Yes associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16262]	7	2.310655355453491	0.027464328	Yes	
row_1	TRPC1	transient receptor potential cation channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:12333]	38	1.6369071006774902	0.045530044	Yes	
row_2	EOMES	eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]	128	1.310971736907959	0.05639074	Yes	
row_3	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	134	1.3031792640686035	0.07182184	Yes	
row_4	ZNF821	zinc finger protein 821 [Source:HGNC Symbol;Acc:HGNC:28043]	296	1.1155999898910522	0.07632949	Yes	
row_5	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	405	1.0511647462844849	0.08300341	Yes	
row_6	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	481	1.010827660560608	0.091023505	Yes	
row_7	MYO6	myosin VI [Source:HGNC Symbol;Acc:HGNC:7605]	520	0.9943771958351135	0.10089984	Yes	
row_8	TNNI1	"troponin I1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11945]"	621	0.9586572051048279	0.106902875	Yes	
row_9	ETV1	ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]	662	0.945831835269928	0.116082974	Yes	
row_10	GNPTAB	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta [Source:HGNC Symbol;Acc:HGNC:29670]	770	0.9171729683876038	0.12119726	Yes	
row_11	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	822	0.9000540375709534	0.12921473	Yes	
row_12	PHLDB2	pleckstrin homology like domain family B member 2 [Source:HGNC Symbol;Acc:HGNC:29573]	832	0.8973844051361084	0.13953221	Yes	
