NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAMP1	receptor activity modifying protein 1 [Source:HGNC Symbol;Acc:HGNC:9843]	346	1.086748719215393	-0.0074044373	No	
row_1	GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]	619	0.960256040096283	-0.0120712165	No	
row_2	HDAC5	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	809	0.903422474861145	-0.012740906	No	
row_3	ADRB2	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	919	0.879761278629303	-0.009218977	No	
row_4	YIPF3	Yip1 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:21023]	993	0.8599939346313477	-0.0039101704	No	
row_5	CLK4	CDC like kinase 4 [Source:HGNC Symbol;Acc:HGNC:13659]	1050	0.8500919938087463	0.002236259	No	
row_6	SESN1	sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]	1265	0.8068532943725586	-8.759003E-4	No	
row_7	UBR4	ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313]	1274	0.8056243062019348	0.007455725	No	
row_8	HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	1305	0.8001831769943237	0.014504493	No	
row_9	USP24	ubiquitin specific peptidase 24 [Source:HGNC Symbol;Acc:HGNC:12623]	1690	0.7311261892318726	0.0011124033	No	
row_10	PHETA1	PH domain containing endocytic trafficking adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26509]	1838	0.7109444737434387	6.8176416E-4	No	
row_11	ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	1900	0.7001358866691589	0.0049164672	No	
row_12	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	1993	0.6860649585723877	0.0072737425	No	
row_13	RNF38	ring finger protein 38 [Source:HGNC Symbol;Acc:HGNC:18052]	2275	0.6502629518508911	-0.0012706934	No	
row_14	B4GALT1	"beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]"	2739	0.5945479869842529	-0.020544453	No	
row_15	ATP8A1	ATPase phospholipid transporting 8A1 [Source:HGNC Symbol;Acc:HGNC:13531]	2754	0.5929903984069824	-0.014862989	No	
row_16	MBP	myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925]	3508	0.5075899958610535	-0.05121311	No	
row_17	KLF2	Kruppel like factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]	3511	0.5071064829826355	-0.045799866	No	
row_18	PKD1	"polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]"	3526	0.5051182508468628	-0.041075695	No	
row_19	PSAP	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	3549	0.5022303462028503	-0.036827922	No	
row_20	FAM102A	family with sequence similarity 102 member A [Source:HGNC Symbol;Acc:HGNC:31419]	3653	0.4894566535949707	-0.03722431	No	
row_21	XPC	"XPC complex subunit, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12816]"	3741	0.48053157329559326	-0.036828052	No	
row_22	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19873]	3920	0.463932603597641	-0.041673806	No	
row_23	LYSMD1	LysM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32070]	3991	0.45667219161987305	-0.04059198	No	
row_24	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9466]	4152	0.44112423062324524	-0.0446851	No	
row_25	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	4334	0.42204514145851135	-0.05015403	No	
row_26	MBTPS1	"membrane bound transcription factor peptidase, site 1 [Source:HGNC Symbol;Acc:HGNC:15456]"	4377	0.41745659708976746	-0.04794214	No	
row_27	CCNDBP1	cyclin D1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1587]	4390	0.4162054657936096	-0.044075355	No	
row_28	MAP1LC3B	microtubule associated protein 1 light chain 3 beta [Source:HGNC Symbol;Acc:HGNC:13352]	4438	0.41124850511550903	-0.042209182	No	
row_29	GIT1	GIT ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:4272]	4827	0.3717881143093109	-0.059738412	No	
row_30	ARFGAP2	ADP ribosylation factor GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:13504]	4860	0.36894869804382324	-0.057498798	No	
row_31	PDE6A	phosphodiesterase 6A [Source:HGNC Symbol;Acc:HGNC:8785]	5123	0.34145990014076233	-0.06835064	No	
row_32	YIPF1	Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231]	5210	0.3340662121772766	-0.069494374	No	
row_33	ANKRD10	ankyrin repeat domain 10 [Source:HGNC Symbol;Acc:HGNC:20265]	5429	0.3126506209373474	-0.07821291	No	
row_34	TBCEL	tubulin folding cofactor E like [Source:HGNC Symbol;Acc:HGNC:28115]	5572	0.29953235387802124	-0.08284743	No	
row_35	ADD1	adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]	5658	0.29221311211586	-0.084391505	No	
row_36	S1PR4	sphingosine-1-phosphate receptor 4 [Source:HGNC Symbol;Acc:HGNC:3170]	5683	0.2896740734577179	-0.082570575	No	
row_37	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11 [Source:HGNC Symbol;Acc:HGNC:19875]	5741	0.2848239541053772	-0.08263786	No	
row_38	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8997]	5789	0.27987533807754517	-0.08220288	No	
row_39	TMEM50B	transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]	6191	0.2443697601556778	-0.101843245	No	
row_40	SPNS1	sphingolipid transporter 1 (putative) [Source:HGNC Symbol;Acc:HGNC:30621]	6339	0.23032721877098083	-0.107509784	No	
row_41	FBXL3	F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]	6390	0.22623389959335327	-0.10782603	No	
row_42	PLP2	proteolipid protein 2 [Source:HGNC Symbol;Acc:HGNC:9087]	6473	0.21806232631206512	-0.110011056	No	
row_43	PIK3CD	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]"	6487	0.2167797088623047	-0.108372465	No	
row_44	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2 [Source:HGNC Symbol;Acc:HGNC:30279]	6576	0.20903660356998444	-0.11098952	No	
row_45	EMB	embigin [Source:HGNC Symbol;Acc:HGNC:30465]	6765	0.19164296984672546	-0.1193578	No	
row_46	PPDPF	pancreatic progenitor cell differentiation and proliferation factor [Source:HGNC Symbol;Acc:HGNC:16142]	6789	0.1893642246723175	-0.118574046	No	
row_47	TIA1	TIA1 cytotoxic granule associated RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11802]	6803	0.187517911195755	-0.11725423	No	
row_48	PLAC8	placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]	7309	0.14343306422233582	-0.14377841	No	
row_49	RPP25L	ribonuclease P/MRP subunit p25 like [Source:HGNC Symbol;Acc:HGNC:19909]	7373	0.13754139840602875	-0.14578392	No	
row_50	SRCAP	Snf2 related CREBBP activator protein [Source:HGNC Symbol;Acc:HGNC:16974]	7439	0.1330479383468628	-0.1479496	No	
row_51	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	7683	0.10972750186920166	-0.16026923	No	
row_52	JKAMP	JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]	7955	0.084297314286232	-0.17442319	No	
row_53	ST6GAL1	"ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]"	7974	0.08306962996721268	-0.17451933	No	
row_54	ITGB7	integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162]	8094	0.07201764732599258	-0.18035322	No	
row_55	SS18	SS18 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol;Acc:HGNC:11340]	8117	0.06975419819355011	-0.1808169	No	
row_56	RUFY1	RUN and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19760]	8243	0.05937410145998001	-0.18712224	No	
row_57	NDEL1	nudE neurodevelopment protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:17620]	8445	0.042807985097169876	-0.19783497	No	
row_58	SLCO3A1	solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol;Acc:HGNC:10952]	8457	0.04181654751300812	-0.1979912	No	
row_59	ATP6V0C	ATPase H+ transporting V0 subunit c [Source:HGNC Symbol;Acc:HGNC:855]	8489	0.03943539783358574	-0.19928573	No	
row_60	GNPAT	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]	8523	0.0365210585296154	-0.20072325	No	
row_61	RNF5	ring finger protein 5 [Source:HGNC Symbol;Acc:HGNC:10068]	8614	0.02810833416879177	-0.2054226	No	
row_62	SLC66A2	solute carrier family 66 member 2 [Source:HGNC Symbol;Acc:HGNC:26188]	8665	0.024229804053902626	-0.20793949	No	
row_63	ANAPC5	anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]	8861	0.007688749115914106	-0.21870111	No	
row_64	MTCH1	mitochondrial carrier 1 [Source:HGNC Symbol;Acc:HGNC:17586]	8927	0.0026183449663221836	-0.22228771	No	
row_65	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	8949	0.0011900683166459203	-0.22344272	No	
row_66	ABLIM1	actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]	9492	-0.04377042129635811	-0.2531105	No	
row_67	ACP5	"acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]"	9578	-0.05112547427415848	-0.257281	No	
row_68	SNTB1	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	9607	-0.053271252661943436	-0.25825793	No	
row_69	PHTF1	putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]	9626	-0.05446354299783707	-0.2586657	No	
row_70	DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	9630	-0.05485248565673828	-0.258235	No	
row_71	ANAPC16	anaphase promoting complex subunit 16 [Source:HGNC Symbol;Acc:HGNC:26976]	9870	-0.0773477777838707	-0.2706849	No	
row_72	TEC	tec protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11719]	10197	-0.10766170918941498	-0.28764328	No	
row_73	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	10344	-0.12055519223213196	-0.29445007	No	
row_74	DCTN5	dynactin subunit 5 [Source:HGNC Symbol;Acc:HGNC:24594]	10407	-0.1272706240415573	-0.29651186	No	
row_75	CNDP2	carnosine dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:24437]	10856	-0.16700421273708344	-0.31960908	No	
row_76	SEMA4A	semaphorin 4A [Source:HGNC Symbol;Acc:HGNC:10729]	10925	-0.17154836654663086	-0.32152218	No	
row_77	RAD17	RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]	11055	-0.18313461542129517	-0.32670173	No	
row_78	C18orf32	chromosome 18 open reading frame 32 [Source:HGNC Symbol;Acc:HGNC:31690]	11130	-0.18957944214344025	-0.3287521	No	
row_79	PRKD2	protein kinase D2 [Source:HGNC Symbol;Acc:HGNC:17293]	11212	-0.1964692771434784	-0.33111677	No	
row_80	BRAP	BRCA1 associated protein [Source:HGNC Symbol;Acc:HGNC:1099]	11224	-0.19688083231449127	-0.3295837	No	
row_81	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803]	11288	-0.20317551493644714	-0.33087417	No	
row_82	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	11392	-0.21105483174324036	-0.3343035	No	
row_83	NCOA5	nuclear receptor coactivator 5 [Source:HGNC Symbol;Acc:HGNC:15909]	11549	-0.2232806235551834	-0.34054738	No	
row_84	DYM	dymeclin [Source:HGNC Symbol;Acc:HGNC:21317]	11856	-0.24999621510505676	-0.35484278	No	
row_85	CHP1	calcineurin like EF-hand protein 1 [Source:HGNC Symbol;Acc:HGNC:17433]	12020	-0.2662506699562073	-0.36100784	No	
row_86	RPRD1A	regulation of nuclear pre-mRNA domain containing 1A [Source:HGNC Symbol;Acc:HGNC:25560]	12143	-0.2759433686733246	-0.364787	No	
row_87	IGHM	immunoglobulin heavy constant mu [Source:HGNC Symbol;Acc:HGNC:5541]	12161	-0.27746573090553284	-0.36270976	No	
row_88	CYBC1	cytochrome b-245 chaperone 1 [Source:HGNC Symbol;Acc:HGNC:28672]	12288	-0.28776276111602783	-0.36658263	No	
row_89	METTL9	methyltransferase like 9 [Source:HGNC Symbol;Acc:HGNC:24586]	12389	-0.29806604981422424	-0.3688972	No	
row_90	PIGX	phosphatidylinositol glycan anchor biosynthesis class X [Source:HGNC Symbol;Acc:HGNC:26046]	12407	-0.300112247467041	-0.36657324	No	
