NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_DN	197	193		
GSE41867_DAY6_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP	200	191		
GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP	199	187		
GSE41867_DAY6_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN	200	196		
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN	200	193		
GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_UP	200	192		
GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_WITH_IFNA_STIM_90MIN_UP	200	185		
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	199	165		
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	200	198		
GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_DN	200	192		
GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_WITH_IFNA_STIM_90MIN_DN	200	190		
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP	200	195		
GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_UP	200	194		
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	200	198		
GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN	200	194		
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	200	195		
GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_DN	200	165		
GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_UP	196	144		
