NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZBTB22	zinc finger and BTB domain containing 22 [Source:HGNC Symbol;Acc:HGNC:13085]	123	1.3291609287261963	0.0066622808	No	
row_1	SIDT2	SID1 transmembrane family member 2 [Source:HGNC Symbol;Acc:HGNC:24272]	142	1.287750482559204	0.018744312	No	
row_2	SLC30A4	solute carrier family 30 member 4 [Source:HGNC Symbol;Acc:HGNC:11015]	526	0.9929583668708801	0.0075287297	No	
row_3	AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	1022	0.8547616600990295	-0.011320735	No	
row_4	FOXO4	forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]	1291	0.8023094534873962	-0.018076561	No	
row_5	KCTD14	potassium channel tetramerization domain containing 14 [Source:HGNC Symbol;Acc:HGNC:23295]	1343	0.7922300100326538	-0.012864483	No	
row_6	SLFN13	schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]	1647	0.7378219366073608	-0.02222231	No	
row_7	KDM7A	lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]	1733	0.7246694564819336	-0.019587832	No	
row_8	DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]	1828	0.7123813629150391	-0.017578809	No	
row_9	VPS8	VPS8 subunit of CORVET complex [Source:HGNC Symbol;Acc:HGNC:29122]	2514	0.6214191913604736	-0.049367454	No	
row_10	ZBTB1	zinc finger and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20259]	2646	0.6055738925933838	-0.050501645	No	
row_11	GLG1	golgi glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:4316]	3056	0.5588517189025879	-0.06757386	No	
row_12	ITFG1	integrin alpha FG-GAP repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30697]	3121	0.5520015358924866	-0.06552556	No	
row_13	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	3265	0.5338617563247681	-0.06805581	No	
row_14	TPRG1L	tumor protein p63 regulated 1 like [Source:HGNC Symbol;Acc:HGNC:27007]	3306	0.5286611914634705	-0.064909674	No	
row_15	SLC44A1	solute carrier family 44 member 1 [Source:HGNC Symbol;Acc:HGNC:18798]	4036	0.4517260789871216	-0.1008698	No	
row_16	KLF3	Kruppel like factor 3 [Source:HGNC Symbol;Acc:HGNC:16516]	4084	0.4477691650390625	-0.09893487	No	
row_17	GID4	GID complex subunit 4 homolog [Source:HGNC Symbol;Acc:HGNC:28453]	4135	0.4426712393760681	-0.0972186	No	
row_18	CSNK1E	casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]	4232	0.4322441518306732	-0.098166965	No	
row_19	SYNRG	synergin gamma [Source:HGNC Symbol;Acc:HGNC:557]	4277	0.4281153976917267	-0.09626484	No	
row_20	LIPT1	lipoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:29569]	4338	0.42178627848625183	-0.095317	No	
row_21	ORMDL1	ORMDL sphingolipid biosynthesis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16036]	4432	0.41165244579315186	-0.096307695	No	
row_22	RANBP6	RAN binding protein 6 [Source:HGNC Symbol;Acc:HGNC:9851]	4598	0.39588433504104614	-0.10146348	No	
row_23	PDE7A	phosphodiesterase 7A [Source:HGNC Symbol;Acc:HGNC:8791]	4781	0.37670814990997314	-0.1077597	No	
row_24	LRRC8A	leucine rich repeat containing 8 VRAC subunit A [Source:HGNC Symbol;Acc:HGNC:19027]	4816	0.3727892339229584	-0.105863445	No	
row_25	CNOT2	CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]	5111	0.3423808813095093	-0.11873825	No	
row_26	ZBTB25	zinc finger and BTB domain containing 25 [Source:HGNC Symbol;Acc:HGNC:13112]	5591	0.29843494296073914	-0.1423499	No	
row_27	ZNF131	zinc finger protein 131 [Source:HGNC Symbol;Acc:HGNC:12915]	5702	0.2875124216079712	-0.14554742	No	
row_28	MDC1	mediator of DNA damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	5706	0.2871944010257721	-0.14279646	No	
row_29	TMEM259	transmembrane protein 259 [Source:HGNC Symbol;Acc:HGNC:17039]	5837	0.27669259905815125	-0.14721638	No	
row_30	ULK2	unc-51 like autophagy activating kinase 2 [Source:HGNC Symbol;Acc:HGNC:13480]	5874	0.2733794152736664	-0.14644136	No	
row_31	MCOLN2	mucolipin 2 [Source:HGNC Symbol;Acc:HGNC:13357]	5982	0.2627803683280945	-0.14972329	No	
row_32	SH2D4B	SH2 domain containing 4B [Source:HGNC Symbol;Acc:HGNC:31440]	6006	0.26031985878944397	-0.14835784	No	
row_33	MAPRE2	microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]	6038	0.25740352272987366	-0.147467	No	
row_34	NCOA6	nuclear receptor coactivator 6 [Source:HGNC Symbol;Acc:HGNC:15936]	6266	0.238486185669899	-0.15767059	No	
row_35	ZNF280C	zinc finger protein 280C [Source:HGNC Symbol;Acc:HGNC:25955]	6699	0.1968149095773697	-0.17970036	No	
row_36	BRAF	"B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]"	6983	0.17348390817642212	-0.19367926	No	
row_37	VPS13B	vacuolar protein sorting 13 homolog B [Source:HGNC Symbol;Acc:HGNC:2183]	7103	0.1626655012369156	-0.19864582	No	
row_38	BASP1	brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	7169	0.15748664736747742	-0.20066132	No	
row_39	RMND5A	required for meiotic nuclear division 5 homolog A [Source:HGNC Symbol;Acc:HGNC:25850]	7200	0.15465223789215088	-0.2007588	No	
row_40	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	7269	0.14773042500019073	-0.20304029	No	
row_41	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]	7427	0.1338440328836441	-0.21041335	No	
row_42	UBXN2A	UBX domain protein 2A [Source:HGNC Symbol;Acc:HGNC:27265]	7428	0.13381128013134003	-0.20905386	No	
row_43	SPAG9	sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]	7607	0.11594023555517197	-0.21777692	No	
row_44	EML4	EMAP like 4 [Source:HGNC Symbol;Acc:HGNC:1316]	7634	0.11315038800239563	-0.21807356	No	
row_45	TMEM184C	transmembrane protein 184C [Source:HGNC Symbol;Acc:HGNC:25587]	7649	0.11177363991737366	-0.2177167	No	
row_46	JKAMP	JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]	7955	0.084297314286232	-0.23382543	No	
row_47	DPY19L1	dpy-19 like C-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22205]	7994	0.08067665994167328	-0.23511946	No	
row_48	SS18	SS18 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol;Acc:HGNC:11340]	8117	0.06975419819355011	-0.24119686	No	
row_49	BCL7C	BAF chromatin remodeling complex subunit BCL7C [Source:HGNC Symbol;Acc:HGNC:1006]	8194	0.06433995813131332	-0.24477056	No	
row_50	SCAMP2	secretory carrier membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:10564]	8245	0.0590820349752903	-0.24695148	No	
row_51	MBNL3	muscleblind like splicing regulator 3 [Source:HGNC Symbol;Acc:HGNC:20564]	8309	0.054388806223869324	-0.24990319	No	
row_52	ZNF566	zinc finger protein 566 [Source:HGNC Symbol;Acc:HGNC:25919]	8314	0.053850796073675156	-0.24957857	No	
row_53	SNHG32	small nucleolar RNA host gene 32 [Source:HGNC Symbol;Acc:HGNC:19078]	8401	0.046190980821847916	-0.2538929	No	
row_54	SLAIN2	SLAIN motif family member 2 [Source:HGNC Symbol;Acc:HGNC:29282]	8418	0.044627174735069275	-0.25432947	No	
row_55	PTBP2	polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662]	8449	0.042303018271923065	-0.2555684	No	
row_56	NUDT17	nudix hydrolase 17 [Source:HGNC Symbol;Acc:HGNC:26618]	8524	0.03646700084209442	-0.25931403	No	
