NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC14A1	solute carrier family 14 member 1 (Kidd blood group) [Source:HGNC Symbol;Acc:HGNC:10918]	54	1.5003334283828735	0.015039024	Yes	
row_1	SLFN12L	schlafen family member 12 like [Source:HGNC Symbol;Acc:HGNC:33920]	258	1.1392830610275269	0.017453734	Yes	
row_2	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	405	1.0511647462844849	0.021977464	Yes	
row_3	APPL2	"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2 [Source:HGNC Symbol;Acc:HGNC:18242]"	534	0.9886387586593628	0.026749955	Yes	
row_4	TMEM71	transmembrane protein 71 [Source:HGNC Symbol;Acc:HGNC:26572]	633	0.9555326700210571	0.032792047	Yes	
row_5	AKAP8L	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	696	0.9369175434112549	0.040611524	Yes	
row_6	DZIP1	DAZ interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:20908]	941	0.8728936910629272	0.037543844	Yes	
row_7	PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	985	0.8613221645355225	0.04551052	Yes	
row_8	RSRP1	arginine and serine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:25234]	1051	0.8499316573143005	0.052117262	Yes	
row_9	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	1166	0.8275625705718994	0.055731136	Yes	
row_10	ABTB1	ankyrin repeat and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18275]	1180	0.8231444358825684	0.064906426	Yes	
row_11	HLA-E	"major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]"	1215	0.8176732063293457	0.07284854	Yes	
row_12	TOM1L2	target of myb1 like 2 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11984]	1255	0.8090546727180481	0.08040909	Yes	
row_13	CD247	CD247 molecule [Source:HGNC Symbol;Acc:HGNC:1677]	1283	0.8040900826454163	0.088577	Yes	
row_14	RASAL3	RAS protein activator like 3 [Source:HGNC Symbol;Acc:HGNC:26129]	1331	0.7941884398460388	0.09551407	Yes	
row_15	NRN1L	neuritin 1 like [Source:HGNC Symbol;Acc:HGNC:29811]	1365	0.7877464890480042	0.103151925	Yes	
row_16	CRTC1	CREB regulated transcription coactivator 1 [Source:HGNC Symbol;Acc:HGNC:16062]	1447	0.7713984251022339	0.1079249	Yes	
row_17	BMF	Bcl2 modifying factor [Source:HGNC Symbol;Acc:HGNC:24132]	1452	0.7708954811096191	0.11697223	Yes	
row_18	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	1494	0.762021005153656	0.12385603	Yes	
row_19	DNMBP	dynamin binding protein [Source:HGNC Symbol;Acc:HGNC:30373]	1569	0.747655987739563	0.12873264	Yes	
row_20	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	1819	0.7136463522911072	0.12347214	Yes	
row_21	SELPLG	selectin P ligand [Source:HGNC Symbol;Acc:HGNC:10722]	1846	0.7090673446655273	0.13055304	Yes	
row_22	SARAF	store-operated calcium entry associated regulatory factor [Source:HGNC Symbol;Acc:HGNC:28789]	2359	0.6399835348129272	0.10978672	Yes	
row_23	VPS8	VPS8 subunit of CORVET complex [Source:HGNC Symbol;Acc:HGNC:29122]	2514	0.6214191913604736	0.10869823	Yes	
row_24	PIK3IP1	phosphoinositide-3-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24942]	2531	0.6194435358047485	0.11525734	Yes	
row_25	IDS	iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]	2554	0.6167426109313965	0.12145043	Yes	
row_26	VPS37B	VPS37B subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:25754]	2566	0.6153261661529541	0.12823798	Yes	
row_27	LPAR6	lysophosphatidic acid receptor 6 [Source:HGNC Symbol;Acc:HGNC:15520]	2578	0.6135240793228149	0.13500385	Yes	
row_28	STIM1	stromal interaction molecule 1 [Source:HGNC Symbol;Acc:HGNC:11386]	2601	0.6111187934875488	0.14112931	Yes	
row_29	EVL	Enah/Vasp-like [Source:HGNC Symbol;Acc:HGNC:20234]	2602	0.611001193523407	0.14847635	Yes	
row_30	PIGV	phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]	2711	0.5976865291595459	0.14965959	Yes	
row_31	SRRM2	serine/arginine repetitive matrix 2 [Source:HGNC Symbol;Acc:HGNC:16639]	2821	0.5863778591156006	0.15065128	Yes	
row_32	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	2910	0.5748468637466431	0.15267168	Yes	
row_33	ZBTB26	zinc finger and BTB domain containing 26 [Source:HGNC Symbol;Acc:HGNC:23383]	2950	0.57000732421875	0.15735778	Yes	
row_34	GLG1	golgi glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:4316]	3056	0.5588517189025879	0.15824082	Yes	
row_35	UBN2	ubinuclein 2 [Source:HGNC Symbol;Acc:HGNC:21931]	3217	0.5403707027435303	0.15584423	Yes	
row_36	NXF1	nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]	3455	0.5121711492538452	0.14882815	Yes	
row_37	TMEM108	transmembrane protein 108 [Source:HGNC Symbol;Acc:HGNC:28451]	3532	0.5039297342300415	0.15066288	Yes	
row_38	EPS8L1	EPS8 like 1 [Source:HGNC Symbol;Acc:HGNC:21295]	3726	0.482504278421402	0.14573601	Yes	
row_39	IRF2BP2	interferon regulatory factor 2 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21729]	3777	0.47756850719451904	0.14869907	Yes	
row_40	SSH2	slingshot protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:30580]	3815	0.4743556082248688	0.1523462	Yes	
