NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YAP1	Yes associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16262]	7	2.310655355453491	0.027310247	Yes	
row_1	TRPC1	transient receptor potential cation channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:12333]	38	1.6369071006774902	0.045266885	Yes	
row_2	EOMES	eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]	128	1.310971736907959	0.056040425	Yes	
row_3	ZNF821	zinc finger protein 821 [Source:HGNC Symbol;Acc:HGNC:28043]	296	1.1155999898910522	0.060141023	Yes	
row_4	MYO6	myosin VI [Source:HGNC Symbol;Acc:HGNC:7605]	520	0.9943771958351135	0.05967908	Yes	
row_5	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	778	0.9152984023094177	0.056381345	Yes	
row_6	PHLDB2	pleckstrin homology like domain family B member 2 [Source:HGNC Symbol;Acc:HGNC:29573]	832	0.8973844051361084	0.06419591	Yes	
row_7	NOTCH4	notch receptor 4 [Source:HGNC Symbol;Acc:HGNC:7884]	860	0.8906270265579224	0.07337311	Yes	
row_8	CD244	CD244 molecule [Source:HGNC Symbol;Acc:HGNC:18171]	870	0.8892234563827515	0.08353293	Yes	
row_9	ERCC5	"ERCC excision repair 5, endonuclease [Source:HGNC Symbol;Acc:HGNC:3437]"	915	0.8803157806396484	0.0916426	Yes	
row_10	PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	985	0.8613221645355225	0.09813647	Yes	
row_11	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	1006	0.8581007719039917	0.10731243	Yes	
row_12	SMAD1	SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]	1055	0.848628580570221	0.11482016	Yes	
row_13	H1-4	"H1.4 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4718]"	1076	0.8446642160415649	0.12383506	Yes	
row_14	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	1090	0.8424087762832642	0.13321158	Yes	
row_15	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	1234	0.8133655786514282	0.13502175	Yes	
row_16	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	1273	0.8057817816734314	0.1425711	Yes	
row_17	AARD	alanine and arginine rich domain containing protein [Source:HGNC Symbol;Acc:HGNC:33842]	1327	0.7947710752487183	0.14915559	Yes	
row_18	ADGRG1	adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]	1576	0.7464683055877686	0.14433374	Yes	
row_19	MAP2	microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839]	1842	0.7099350094795227	0.13813001	Yes	
row_20	EPCAM	epithelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:11529]	1962	0.6920490264892578	0.13981849	Yes	
row_21	INCA1	"inhibitor of CDK, cyclin A1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:32224]"	1970	0.6898831725120544	0.14769977	Yes	
row_22	PTPN12	protein tyrosine phosphatase non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]	1975	0.6885932683944702	0.15573217	Yes	
row_23	FRK	fyn related Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3955]	2044	0.6797986626625061	0.16010556	Yes	
row_24	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	2057	0.6783016324043274	0.16757038	Yes	
row_25	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	2091	0.6735480427742004	0.1738122	Yes	
row_26	OVGP1	oviductal glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:8524]	2227	0.6556363105773926	0.17417578	Yes	
row_27	SSBP2	single stranded DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15831]	2355	0.6403749585151672	0.17480063	Yes	
row_28	HLA-DMA	"major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]"	2608	0.6096974611282349	0.16811714	Yes	
row_29	SPOCK2	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]"	2664	0.6040751338005066	0.1723046	Yes	
row_30	GABRR2	gamma-aminobutyric acid type A receptor rho2 subunit [Source:HGNC Symbol;Acc:HGNC:4091]	2881	0.5790163278579712	0.16725221	Yes	
row_31	PLEKHA1	pleckstrin homology domain containing A1 [Source:HGNC Symbol;Acc:HGNC:14335]	2942	0.5710768103599548	0.1707665	Yes	
row_32	SCN1A	sodium voltage-gated channel alpha subunit 1 [Source:HGNC Symbol;Acc:HGNC:10585]	2945	0.5709255337715149	0.1774994	Yes	
