NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFLR1	IGF like family receptor 1 [Source:HGNC Symbol;Acc:HGNC:23620]	78	1.439700722694397	0.011656139	Yes	
row_1	ARHGAP26	Rho GTPase activating protein 26 [Source:HGNC Symbol;Acc:HGNC:17073]	295	1.1160120964050293	0.012045407	Yes	
row_2	NKG7	natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]	318	1.1036149263381958	0.023081334	Yes	
row_3	GPR18	G protein-coupled receptor 18 [Source:HGNC Symbol;Acc:HGNC:4472]	320	1.102919340133667	0.03527692	Yes	
row_4	CDC14B	cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]	364	1.0753505229949951	0.044831507	Yes	
row_5	MYO6	myosin VI [Source:HGNC Symbol;Acc:HGNC:7605]	520	0.9943771958351135	0.04726062	Yes	
row_6	ATP8B3	ATPase phospholipid transporting 8B3 [Source:HGNC Symbol;Acc:HGNC:13535]	606	0.9639952778816223	0.05324352	Yes	
row_7	PLAAT3	phospholipase A and acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17825]	708	0.9319606423377991	0.057981152	Yes	
row_8	EVI2B	ecotropic viral integration site 2B [Source:HGNC Symbol;Acc:HGNC:3500]	723	0.9290961027145386	0.06752325	Yes	
row_9	B3GALT4	"beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]"	742	0.9249735474586487	0.076797195	Yes	
row_10	KLRD1	killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]	821	0.9007408022880554	0.082466595	Yes	
row_11	CRIP1	cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360]	842	0.8937608003616333	0.09128266	Yes	
row_12	ADRB2	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	919	0.879761278629303	0.0968302	Yes	
row_13	GNPTG	N-acetylglucosamine-1-phosphate transferase subunit gamma [Source:HGNC Symbol;Acc:HGNC:23026]	936	0.8743002414703369	0.105652444	Yes	
row_14	TOM1	target of myb1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11982]	965	0.8662575483322144	0.113718286	Yes	
row_15	ACBD4	acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23337]	990	0.8603758811950684	0.12194115	Yes	
row_16	RHOC	ras homolog family member C [Source:HGNC Symbol;Acc:HGNC:669]	1011	0.8575840592384338	0.13035536	Yes	
row_17	PNPLA2	patatin like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802]	1073	0.8449036478996277	0.13634954	Yes	
row_18	EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	1117	0.8371630311012268	0.14325836	Yes	
row_19	SIDT1	SID1 transmembrane family member 1 [Source:HGNC Symbol;Acc:HGNC:25967]	1202	0.8189619183540344	0.14768583	Yes	
row_20	SESN1	sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]	1265	0.8068532943725586	0.15320176	Yes	
row_21	PCDH9	protocadherin 9 [Source:HGNC Symbol;Acc:HGNC:8661]	1561	0.7489592432975769	0.14512224	Yes	
row_22	THRA	thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796]	1608	0.7415710687637329	0.15080246	Yes	
row_23	NOD1	nucleotide binding oligomerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16390]	1632	0.7394003868103027	0.15773712	Yes	
row_24	DAAM1	dishevelled associated activator of morphogenesis 1 [Source:HGNC Symbol;Acc:HGNC:18142]	1744	0.7235612869262695	0.15960397	Yes	
row_25	PPM1L	"protein phosphatase, Mg2+/Mn2+ dependent 1L [Source:HGNC Symbol;Acc:HGNC:16381]"	1787	0.7182053923606873	0.16524701	Yes	
row_26	GLIPR2	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]	1809	0.7150253057479858	0.17202209	Yes	
row_27	TTC32	tetratricopeptide repeat domain 32 [Source:HGNC Symbol;Acc:HGNC:32954]	1822	0.7133498787879944	0.17927887	Yes	
row_28	SELPLG	selectin P ligand [Source:HGNC Symbol;Acc:HGNC:10722]	1846	0.7090673446655273	0.1858766	Yes	
row_29	SERINC3	serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]	1889	0.7020962834358215	0.19134068	Yes	
row_30	PCDHB2	protocadherin beta 2 [Source:HGNC Symbol;Acc:HGNC:8687]	1984	0.687210738658905	0.19374877	Yes	
row_31	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	1999	0.6855782270431519	0.20058589	Yes	
row_32	TIAM2	TIAM Rac1 associated GEF 2 [Source:HGNC Symbol;Acc:HGNC:11806]	2054	0.6786839365959167	0.20512283	Yes	
row_33	PNPLA7	patatin like phospholipase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:24768]	2134	0.6674321293830872	0.20814507	Yes	
row_34	TMX4	thioredoxin related transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:25237]	2288	0.6480199098587036	0.20683804	Yes	
row_35	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	2325	0.6438598036766052	0.21198878	Yes	
row_36	LATS2	large tumor suppressor kinase 2 [Source:HGNC Symbol;Acc:HGNC:6515]	2330	0.6433280110359192	0.21891247	Yes	
row_37	CRIM1	cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]	2504	0.6235101222991943	0.2162214	Yes	
row_38	STK38	serine/threonine kinase 38 [Source:HGNC Symbol;Acc:HGNC:17847]	2600	0.6111900210380554	0.21772946	Yes	
row_39	AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	2623	0.6081755757331848	0.22326209	Yes	
row_40	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	2687	0.6015838384628296	0.2264423	Yes	
row_41	C16orf54	chromosome 16 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26649]	2804	0.5884311199188232	0.22653018	Yes	
row_42	GABRR2	gamma-aminobutyric acid type A receptor rho2 subunit [Source:HGNC Symbol;Acc:HGNC:4091]	2881	0.5790163278579712	0.22873706	Yes	
row_43	TAPBPL	TAP binding protein like [Source:HGNC Symbol;Acc:HGNC:30683]	2919	0.5738893151283264	0.23305498	Yes	
row_44	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	3070	0.5575656294822693	0.23090996	No	
row_45	RAB33B	"RAB33B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16075]"	3209	0.5415643453598022	0.22925428	No	
row_46	TRMO	tRNA methyltransferase O [Source:HGNC Symbol;Acc:HGNC:30967]	3474	0.5104012489318848	0.22024815	No	
row_47	ABHD15	abhydrolase domain containing 15 [Source:HGNC Symbol;Acc:HGNC:26971]	3558	0.5017260313034058	0.22120737	No	
row_48	F2RL2	coagulation factor II thrombin receptor like 2 [Source:HGNC Symbol;Acc:HGNC:3539]	3752	0.4797714650630951	0.21580787	No	
row_49	SGMS1	sphingomyelin synthase 1 [Source:HGNC Symbol;Acc:HGNC:29799]	3787	0.4767039120197296	0.21921302	No	
row_50	TRIB2	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]	4096	0.4468597173690796	0.20705515	No	
row_51	FLI1	"Fli-1 proto-oncogene, ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:3749]"	4309	0.42476513981819153	0.19998844	No	
